prof,awards,famous,height,dob,birthplace
"Actress,Director,Producer",no awards no nominations,"S.W.A.T.,Kingdom,Free the Nipple",1.70 m,"May 14, 1985","Miami, Florida, USA"
"Actor,Producer,Writer",no awards no nominations,"The Karate Kid,Hot Tub Time Machine,Back to School,The Karate Kid Part II",(1.80 m,"October 20, 1965","New York City, New York, USA"
"Actress,Second Unit Director or Assistant Director,Producer",no awards no nominations,"MacGyver,The Wedding Ringer,Supergirl,Happy Birthday",(1.64 m,"June 10, 1990","New Orleans, Louisiana, USA"
"Actor,Writer,Director",no awards no nominations,"Chicago Fire,NCIS: Los Angeles,Fam,Transpecos",1.85 m,"March 12, 1985","McLennan County, Texas, USA"
"Actor,Producer,Second Unit Director or Assistant Director",no awards no nominations,"Gold,Point Break,Deliver Us from Evil,Domino",(1.78 m,"March 25, 1977","Caracas, Venezuela"
Actor,no awards no nominations,"1917,Before I Go to Sleep,Blinded by the Light,Game of Thrones",1.75 m,"September 7, 1997","Havering, Essex, England, UK"
"Actor,Producer,Director",no awards no nominations,"Supernatural,Battlestar Galactica,Leverage,Room 101",(1.74 m,"May 30, 1964","London, England, UK"
"Actress,Director,Additional Crew",no awards no nominations,"Ready or Not,Saw VI,Wynonna Earp,RoboCop",1.70 m,"December 20, 1981","Ottawa, Ontario, Canada"
"Actor,Producer,Cinematographer",no awards no nominations,"Kon-Tiki,Hercules,Kraftidioten,Point Break",1.88 m,"August 8, 1980","Freiburg, Germany"
"Actress,Producer,Music Department",no awards no nominations,"Cilla,Two Pints of Lager and a Packet of Crisps,Love Soup,Hysteria",1.57 m,"June 25, 1981","Epworth, North Lincolnshire, England, UK"
"Actor,Composer,Soundtrack",no awards no nominations,"Big Little Lies,The Alienist,Big Love,Don't Worry Darling",1.88 m,June 22,"Toronto, Ontario, Canada"
"Actor,Producer,Writer",no awards no nominations,"Train to Busan,The Eternals,Joheunnom nabbeunnom isanghannom,I-ut saram",(1.78 m,"March 1, 1971",South Korea
"Actress,Stunts,Soundtrack",no awards no nominations,"Starlet,The Runaways,Brooklyn's Finest,Take the 10",1.60 m,"November 14, 1989","Nyack, New York, USA"
Actress,no awards no nominations,"Planet of the Apes,Driven,Kangaroo Jack,Beauty and the Beast",1.73 m,"December 23, 1978","Peterborough, Ontario, Canada"
"Actor,Producer,Soundtrack",no awards no nominations,"Bite the Bullet,The Mechanic,Vigilante Force,Buffalo '66",(1.77 m,"July 15, 1944","Denver, Colorado, USA"
"Actress,Producer",no awards no nominations,"Gamer,Hitch,Dead Silence,Transporter 2",(1.78 m,"February 9, 1974","Phoenix, Arizona, USA"
"Actor,Writer,Producer",no awards no nominations,"The Daily Show,The Hangover,21 Jump Street,Dumb and Dumber To",1.91 m,"April 21, 1970","Louisville, Kentucky, USA"
"Actor,Writer,Producer",no awards no nominations,"Intouchables,Jurassic World,X-Men: Days of Future Past,Transformers: The Last Knight",(1.90 m,"January 20, 1978","Trappes, Yvelines, France"
Actress,no awards no nominations,"So Help Me Todd,Law & Order: Special Victims Unit",1.75 m,"January 20, 1978","Trappes, Yvelines, France"
Actress,no awards no nominations,"Enola Holmes 2,Anatomy of a Scandal,The Eternals,Bridgerton",,,
"Actress,Producer,Director",no awards no nominations,"Smallville,The Ant Bully,Honey, We Shrunk Ourselves!,Superman/Batman: Public Enemies",1.65 m,"July 29, 1982","Preetz, Schleswig-Holstein, Germany"
"Actor,Writer,Soundtrack",no awards no nominations,"Elf,The Rescuers,Newhart,ER",(1.72 m,"September 5, 1929","Oak Park, Illinois, USA"
Actor,no awards no nominations,"A Bronx Tale,SLC Punk!,Kazaam,Crank",1.68 m,"April 27, 1983","New York City, New York, USA"
"Actor,Writer,Producer",no awards no nominations,"Back to the Future Part III,Back to the Future,Back to the Future Part II,The Heat",(1.89 m,"April 15, 1959","Philadelphia, Pennsylvania, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"The 100,Suits,The Last Ship,Unforgiven",(1.89 m,February 27,"Mordiallic, Australia"
"Actor,Soundtrack",no awards no nominations,"The Shawshank Redemption,Give 'em Hell, Harry!,Battleground,The Asphalt Jungle",1.73 m,"October 1, 1921","White Plains, New York, USA"
"Actress,Director,Producer",no awards no nominations,"Blue Bloods,Distemper,Law & Order: Special Victims Unit,Almost Paris",1.73 m,"May 4, 1985","Chicago, Illinois, USA"
"Actor,Soundtrack",no awards no nominations,"Love, Simon,The Hate U Give,Outer Banks,Mine 9",1.88 m,"November 4, 1993","Hickory, North Carolina, USA"
"Actress,Producer",no awards no nominations,"Mad Max: Fury Road,Transformers: Dark of the Moon,Love Me Tender... Or Else,About Face",1.75 m,"April 18, 1987","Plymouth, Devon, England, UK"
"Stunts,Actress,Producer",no awards no nominations,"The Hateful Eight,Grindhouse,Death Proof,Once Upon a Time... In Hollywood",1.73 m,"November 17, 1978","Waiheke Island, Auckland, New Zealand"
"Actress,Producer,Director",no awards no nominations,"Home Improvement,Strong Medicine,Ulee's Gold,The West Wing",(1.66 m,"February 23, 1951","Bethesda, Maryland, USA"
"Actor,Producer,Director",no awards no nominations,"Escape from L.A.,Nebraska,The Bourne Legacy,Up in Smoke", (1.82 m,"June 2, 1941","Savannah, Georgia, USA"
Actress,no awards no nominations,"Hell Fest,A Christmas Horror Story,Beautiful Boy,CODA",1.75 m,"August 6, 1995","Ontario, Canada"
"Actress,Writer,Producer",no awards no nominations,"22 Jump Street,Rough Night,Inherent Vice,Office Christmas Party",1.68 m,"April 25, 1984","Las Vegas, Nevada, USA"
"Actress,Soundtrack",no awards no nominations,"The Parent Trap,Friends,The Addams Family,Holiday Hostage",1.63 m,"August 7, 1961","New York City, New York, USA"
"Actress,Soundtrack",no awards no nominations,"L'auberge espagnole,Haute Tension,Hereafter,Les poupées russes",(1.74 m,"July 17, 1975","Namur, Wallonia, Belgium"
"Actor,Soundtrack",no awards no nominations,"Rocky III,The A-Team,Cloudy with a Chance of Meatballs,Not Another Teen Movie", (1.79 m,"May 21, 1952","Chicago, Illinois, USA"
"Actress,Soundtrack",no awards no nominations,"Breaking Bad,Magic Mike,No Ordinary Family,Straight Up",(1.74 m,"March 14, 1973","Bay City, Michigan, USA"
"Actress,Director,Writer",no awards no nominations,"The Last of the Mohicans,A World Apart,Sister My Sister,The Gambler",1.73 m,"May 8, 1975","Camden, London, England, UK"
"Writer,Director,Actor",no awards no nominations,"Persona,Smultronstället,Fanny och Alexander,Det Sjunde Inseglet", (1.79 m,"July 14, 1918","Uppsala, Uppsala län, Sweden"
"Actress,Producer",no awards no nominations,"Seabiscuit,Sully,Jack and Jill,Northern Exposure",(1.66 m,"June 16, 1953","Sumatra, Indonesia"
"Actress,Soundtrack",no awards no nominations,"The Good Place,The Internship,Star Wars: Rebels,Alex, Inc.",1.60 m,"May 16, 1982","Tarrant County, Texas, USA"
Actress,no awards no nominations,"The Bastard Son & the Devil Himself,This Is Christmas,Domina,Doctor Who",(1.67 m,"May 16, 1982","Tarrant County, Texas, USA"
Actor,no awards no nominations,Ginny & Georgia,(1.67 m,"May 16, 1982","Tarrant County, Texas, USA"
"Actor,Writer,Director",no awards no nominations,"Spartacus,Death on the Nile,Billy Budd,Logan's Run",(1.77 m,"April 16, 1921","Swiss Cottage, London, England, UK"
"Actor,Soundtrack",no awards no nominations,"Fear and Loathing in Las Vegas,Under Siege,Demolition Man,Ace Ventura: Pet Detective",1.73 m,"February 16, 1948","Missoula, Montana, USA"
"Actor,Writer,Producer",no awards no nominations,"Fleabag,Stath Lets Flats,Paddington 2,Cruella",1.73 m,"November 1, 1987","Friern Barnet, London, England, UK"
Actress,no awards no nominations,"Police Woman,Hellfighters,Mission: Impossible,I Dream of Jeannie",1.73 m,"July 24, 1941","Oakland, California, USA"
Actor,no awards no nominations,"Yellowstone,Lifeline,This Is Us,We All Got Up to Dance",1.73 m,"July 24, 1941","Oakland, California, USA"
Actor,no awards no nominations,"Better Off Ted,American Reunion,Summerland,Coupling",3 m,"November 15, 1971","Massachusetts, USA"
"Actress,Additional Crew",no awards no nominations,"Life in Pieces,The Curse of Bridge Hollow,Suits,Young Sheldon",3 m,"September 16, 2002","Perth, Australia"
"Actress,Producer,Director",no awards no nominations,"Scrubs,Smile,Devious Maids,The Circle",1.63 m,"November 5, 1967","Bronx, New York City, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 2,In the Valley of Elah,Tenet",3 m,"October 11, 1978","Georgia, USA"
Actress,no awards no nominations,"The Basketball Diaries,Sweet Valley High,Cheaper by the Dozen,That '80s Show",1.73 m,"March 17, 1976","Gainesville, Florida, USA"
"Actress,Music Department,Producer",no awards no nominations,"Elle,8 femmes,La Pianiste,L'avenir",1.57 m,"March 16, 1953","Paris, France"
"Actress,Producer,Writer",no awards no nominations,"Sister Act,Hocus Pocus,Sister Act 2: Back in the Habit,Rat Race",1.68 m,"February 6, 1957","San Diego, California, USA"
Actor,no awards no nominations,"Accused,Queen of the South,Raising Dion,Emancipation",1.85 m,December 24,"Boynton Beach, Florida, USA"
"Actress,Producer,Writer",no awards no nominations,"Dragnet,Christine,Tethered,Spy Hard",(1.78 m,"July 29, 1963","New York City, New York, USA"
"Actor,Stunts,Additional Crew",no awards no nominations,"Our Flag Means Death,The Sex Lives of College Girls,S.O.Z: Soldados O Zombies,Everything's Gonna Be Okay",1.68 m,"July 29, 1963","New York City, New York, USA"
"Producer,Writer,Director",no awards no nominations,"Mad Max: Fury Road,The Road Warrior,Happy Feet,Mad Max",1.70 m,"March 3, 1945","Chinchilla, Queensland, Australia"
"Actress,Director,Producer",no awards no nominations,"The Facts of Life,Living Single,What to Expect When You're Expecting,Adventures in Christmasing",2 m,"May 12, 1969","New York City, New York, USA"
"Producer,Writer,Director",no awards no nominations,"The Ballad of Buster Scruggs,Inside Llewyn Davis,A Serious Man,Fargo",1.73 m,"September 21, 1957","Minneapolis, Minnesota, USA"
"Actress,Writer,Soundtrack",no awards no nominations,"The Waltons,Dragon the Bruce Lee Story,Nurse,Second Acts",1.70 m,"April 9, 1939","Washington, District of Columbia, USA"
Actor,no awards no nominations,"Miracle,CSI: NY,Conviction,Under the Dome",1.88 m,"January 15, 1978","New York City, New York, USA"
"Actress,Writer,Producer",no awards no nominations,"The Moodys,The Addams Family,Victoria Gotti: My Father's Daughter,Sideswiped",1.88 m,"November 16, 1992","Andover, Massachusetts, USA"
"Actress,Additional Crew,Director",no awards no nominations,"Chicago,The Forgotten,Person of Interest,Everyone Says I Love You",1.70 m,"February 8, 1971","Paterson, New Jersey, USA"
Actress,no awards no nominations,"Empire,Phoenix,Bent,The Gifted",1.65 m,"July 26, 1984","George Town, Cayman Islands"
"Actress,Soundtrack",no awards no nominations,"The Joy Luck Club,Friends,Andi Mack,Futurama",1.55 m,"August 4, 1961","Chicago, Illinois, USA"
"Actor,Writer,Director",no awards no nominations,"Sherlock,V for Vendetta,Maurice,Death at a Funeral",(1.80 m,"June 30, 1963","Weston-super-Mare, Somerset, England, UK"
"Actor,Music Department,Soundtrack",no awards no nominations,"Transformers: Dark of the Moon,Transformers: Age of Extinction,Transformers: The Last Knight,Transformers",1.73 m,"July 28, 1941","Montreal, Québec, Canada"
"Actress,Writer,Composer",no awards no nominations,"Fantastic Beasts and Where to Find Them,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Secrets of Dumbledore,What to Expect When You're Expecting",1.68 m,"December 23, 1984","Seattle, Washington, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Shadowhunters: The Mortal Instruments,My American Identity Project,Law & Order: Special Victims Unit,Chicago P.D.",(1.78 m,"February 14, 1993","Miami, Florida, USA"
"Actress,Writer,Producer",no awards no nominations,"Karen Pirie,Outlander,Vigil,Broken",(1.78 m,"February 14, 1993","Miami, Florida, USA"
"Actor,Producer,Director",no awards no nominations,"The Killing Fields,Law & Order,Serial Mom,The Great Gatsby",1.85 m,"November 15, 1940","Cambridge, Massachusetts, USA"
"Writer,Producer,Director",no awards no nominations,"Buffy the Vampire Slayer,The Avengers,The Cabin in the Woods,Angel",(1.78 m,"June 23, 1964","New York City, New York, USA"
"Actor,Soundtrack",no awards no nominations,"Lost,Saw,Person of Interest,Batman: The Dark Knight Returns, Part 2",(1.74 m,"September 7, 1954","Cedar Rapids, Iowa, USA"
"Actress,Writer,Producer",no awards no nominations,"Promising Young Woman,The Crown,Killing Eve,Careful How You Go",(1.74 m,"October 1, 1985","Hammersmith, London, England, UK"
"Actor,Producer,Director",no awards no nominations,"The 'Burbs,Back to the Future,Children of the Corn,Can't Buy Me Love",(1.80 m,"August 22, 1965","Los Angeles, California, USA"
"Director,Producer,Writer",no awards no nominations,"Call Me by Your Name,Suspiria,Bones and All,Io Sono L'amore",3 m,"August 10, 1971","Palermo, Sicily, Italy"
"Actress,Director,Writer",no awards no nominations,"Magnolia,Boogie Nights,Dead Poets Society,The Butterfly Effect",1.57 m,"October 21, 1960","Dhahran, Saudi Arabia"
"Actor,Producer,Director",no awards no nominations,"Happy!,Money Monster,The Perfect Storm,Lady in the Water",1.57 m,"May 25, 1968","Boston, Massachusetts, USA"
"Actor,Additional Crew",no awards no nominations,"Star Wars: Episode I - The Phantom Menace,Jingle All the Way,Star Wars: Episode I - Racer,Madison",1.70 m,"March 5, 1989","Fort Collins, Colorado, USA"
"Actor,Writer,Composer",no awards no nominations,"God's Own Country,Emma.,The Crown,Hope Gap",1.85 m,"May 20, 1990","Cheltenham, England, UK"
Actor,no awards no nominations,"Notting Hill,Game of Thrones,Severance,Peterloo",1.86 m,"September 18, 1956","Cheadle Hulme, Cheshire, England, UK"
"Actress,Producer,Writer",no awards no nominations,"Everybody Loves Raymond,American Splendor,Eagle Eye,A Dog of Flanders",1.55 m,"June 27, 1991","Brownwood, Texas, USA"
"Actor,Art Department,Producer",no awards no nominations,"The Wire,Left 4 Dead 2,Copshop,The Walking Dead",(1.80 m,"September 6, 1974","Richmond, Virginia, USA"
"Actor,Soundtrack",no awards no nominations,"Lost,The Stepfather,The Rocketeer,Young Guns",(1.92 m,"July 15, 1952","Sault Ste. Marie, Michigan, USA"
Actor,no awards no nominations,"King Kong,Resident Evil: Apocalypse,Blade II,Wanted",1.76 m,"September 8, 1962","Dessau, German Democratic Republic [now Saxony-Anhalt, Federal Republic of Germany]"
"Actress,Producer,Additional Crew",no awards no nominations,"Stick It,Waiting...,The Perfect Man,Glee",1.57 m,"July 21, 1985","Montreal, Quebec, Canada"
"Actress,Soundtrack",no awards no nominations,"The Trip to Bountiful,Sweet Bird of Youth,Interiors,Hondo",1.73 m,"November 22, 1924","Kirksville, Missouri, USA"
"Actor,Director,Producer",no awards no nominations,"The Dukes of Hazzard,The Rebound,Smallville,Sydney White",1.88 m,"April 8, 1960","Mount Kisco, New York, USA"
Actress,no awards no nominations,"The Nevers,Spencer,Beats,Run",1.70 m,"September 9, 1985","Aberdeenshire, Scotland, UK"
"Actress,Soundtrack",no awards no nominations,"Doom Patrol,Upgrade Soul,The Curse of Bridge Hollow,Broadway Kids Against Bullying: I Have a Voice",(1.50 m,"June 20, 2000","Tampa, Florida, USA"
Actress,no awards no nominations,"The Spencer Sisters,Virgin River,Superman and Lois,Schitt's Creek",1.57 m,"August 25, 1987","Toronto, Ontario, Canada"
"Actress,Soundtrack",no awards no nominations,"Grease,The Cincinnati Kid,Desk Set,Opening Night",1.57 m,"August 30, 1906","New York City, New York, USA"
"Actress,Writer,Producer",no awards no nominations,"Glee,Legends of Oz: Dorothy's Return,New Year's Eve,Scream Queens",(1.59 m,"August 29, 1986","The Bronx, New York City, New York, USA"
"Actress,Producer,Writer",no awards no nominations,"Elvira: Mistress of the Dark,Movie Macabre,Pee-wee's Big Adventure,Elvira's Haunted Hills",1.70 m,"September 17, 1951","Manhattan, Kansas, USA"
"Actress,Stunts,Soundtrack",no awards no nominations,"The Night of the Iguana,Mogambo,On the Beach,Pandora and the Flying Dutchman",1.68 m,"December 24, 1922","Grabtown, North Carolina, USA"
"Actor,Director,Additional Crew",no awards no nominations,"Dead Poets Society,Four Brothers,S.W.A.T.,Sports Night",(1.80 m,"September 15, 1971","Baltimore, Maryland, USA"
Actress,no awards no nominations,"Solo: A Star Wars Story,Pin Cushion,Emerald City,Lockwood & Co.",1.65 m,"September 15, 1971","Baltimore, Maryland, USA"
Actress,no awards no nominations,"Quatermass and the Pit,The Avengers,Village of the Damned,Oil Strike North",1.73 m,"February 13, 1932","Marylebone, London, England, UK"
"Actor,Writer,Producer",no awards no nominations,"Game of Thrones,Whatever Works,The Isle,Salmon Fishing in the Yemen",1.75 m,"November 24, 1964","Ballycastle, County Antrim, Northern Ireland, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"Little House on the Prairie,Happy Birthday to Me,10.5: Apocalypse,The Equalizer",1.60 m,"September 26, 1962","Berkeley, California, USA"
"Actress,Additional Crew,Soundtrack",no awards no nominations,"Pose,Tick, Tick... Boom!,Loot,Saturday Church",1.73 m,"January 7, 1991","Newark, New Jersey, USA"
"Actor,Director,Writer",no awards no nominations,"Game of Thrones,The Man in the High Castle,The Last Kingdom,1883",(1.89 m,1980,"Berlin, Germany"
Actress,no awards no nominations,"General Hospital,The Young and the Restless,North and South,Lois & Clark: The New Adventures of Superman",1.65 m,"May 26, 1962","Englewood, New Jersey, USA"
"Actor,Director,Producer",no awards no nominations,"After Hours,An American Werewolf in London,Movie 43,Dallas Buyers Club",1.70 m,"June 8, 1955","New York City, New York, USA"
"Actress,Writer,Producer",no awards no nominations,"Law & Order: Special Victims Unit,Death for Hire: The Origin of Tehk City,Think Like a Man Too,Angel Blade",1.57 m,"March 17, 1979","Palos Verdes, California, USA"
"Actress,Producer,Writer",no awards no nominations,"Valley of the Dolls,The Miracle Worker,Captains and the Kings,Billie",2 m,"December 14, 1946","Queens, New York City, New York, USA"
"Actress,Additional Crew",no awards no nominations,"Flash Gordon,Oscar,La moglie più bella,Codice privato",(1.68 m,"March 9, 1955","Rome, Lazio, Italy"
"Actress,Art Department,Camera and Electrical Department",no awards no nominations,"The to Do List,Spanglish,Please Give,The Good Fight",2 m,"September 16, 1988","Pittsburgh, Pennsylvania, USA"
Actress,no awards no nominations,"The League of Extraordinary Gentlemen,Nikita,Superman Returns,Vanishing Point",(1.78 m,"November 18, 1970","Sydney, New South Wales, Australia"
"Actor,Director,Producer",no awards no nominations,"The Odd Couple,The Taking of Pelham One Two Three,The Fortune Cookie,Charade",(1.89 m,"October 1, 1920","Lower East Side, Manhattan, New York City, New York, USA"
"Actor,Producer,Composer",no awards no nominations,"Pitch Perfect,Dear Evan Hansen,Pitch Perfect 2,Senior Year",1.75 m,"September 24, 1993","Los Angeles, California, USA"
"Actor,Writer,Director",no awards no nominations,"Pee-wee's Playhouse,Pee-wee's Big Adventure,Big Top Pee-wee,Buffy the Vampire Slayer",3 m,"August 27, 1952","Peekskill, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"Everybody Loves Raymond,Christopher Robin,Tangled,Ratatouille",2.06 m,"April 14, 1960","Woodland Hills, Los Angeles, California, USA"
"Actress,Soundtrack",no awards no nominations,"Mass Effect 3,Mass Effect,Mass Effect 2,Ralph Breaks the Internet: Wreck-It Ralph 2",1.75 m,"January 30, 1972","Goose Bay, Newfoundland and Labrador, Canada"
"Actor,Composer,Producer",no awards no nominations,"Barb Wire,The Dirt,Vanilla Sky,Friday Night Lights",(1.89 m,"October 3, 1962","Athens, Greece"
"Actress,Soundtrack",no awards no nominations,"Friends,Blue Bloods,NYPD Blue,Code Black",1.73 m,"February 24, 1974","Brooklyn, New York, USA"
"Actress,Soundtrack",no awards no nominations,"ER,The Stepfather,54,The Guiding Light",1.70 m,"June 24, 1967","Colorado Springs, Colorado, USA"
"Actress,Soundtrack",no awards no nominations,"Hell or High Water,Glass Chin,Homeland",1.68 m,August 30,"Camarillo, California, USA"
"Actress,Writer,Producer",no awards no nominations,"Superstar,Other People,Never Been Kissed,Scary Movie 4","s, Ohio, US","September 16, 1964","Shaker Heights, Ohio, USA"
"Actress,Soundtrack",no awards no nominations,"Young Sherlock Holmes,Book of Blood,Jane Eyre,Wuthering Heights",1.73 m,"December 30, 1964","Hammersmith, London, England, UK"
"Actor,Producer,Composer",no awards no nominations,"American Horror Story,30 Rock,Glee,Behind the Candelabra",1.93 m,"July 12, 1975","Newport, Washington, USA"
"Actress,Director,Editor",no awards no nominations,"Stargate,Dead Man,Arabian Nights,Kissing a Fool",(1.64 m,"March 30, 1972","Jerusalem, Israel"
"Actor,Writer,Soundtrack",no awards no nominations,"Mean Girls,Scrubs,Magnolia,The Fugitive",1.96 m,"November 13, 1960","Waukegan, Illinois, USA"
Actor,no awards no nominations,"Queen of the South,Narcos,Firefly Lane",3 m,"March 16, 1983","San Marcos, Texas, USA"
"Actress,Producer,Director",no awards no nominations,"The Ring Two,True Blood,Van Helsing,Tekken",1.70 m,"August 28, 1978","Wilbraham, Massachusetts, USA"
"Actress,Writer,Producer",no awards no nominations,"Kidnapping Caitlynn,My Best Friend's Girl,I Like You Just the Way I Am,Crazy, Stupid, Love.",1.68 m,"May 30, 1979","Phoenix, Arizona, USA"
Actress,no awards no nominations,"Grimsby,Keeping Mum,Love, Rosie,St. Trinian's", (1.79 m,"November 26, 1988","Hampshire, England, UK"
"Actor,Director,Producer",no awards no nominations,"Doctor Who,The Thick of It,World War Z,Paddington",3 m,"April 14, 1958","Glasgow, Scotland, UK"
"Actress,Soundtrack",no awards no nominations,"Girl with a Pearl Earring,Eclipse Total,The GIrl,Little Dorrit",(1.74 m,"November 7, 1935","Sheffield, South Yorkshire, England, UK"
"Producer,Actor,Writer",no awards no nominations,"Chicago Hope,Very Bad Things,Lone Survivor,Collateral",1.85 m,"March 11, 1964","New York City, New York, USA"
"Actor,Producer,Director",no awards no nominations,"The Beverly Hillbillies,Macon County Line,The Wild McCullochs,Ode to Billy Joe",1.96 m,"December 4, 1937","Oakland, California, USA"
"Actor,Producer",no awards no nominations,"Executive Decision,A Perfect Murder,The Bank Job,The Way We Live Now",1.68 m,"May 2, 1946","Paddington, London, England, UK"
"Actress,Soundtrack",no awards no nominations,"After the Thin Man,Blondie in Society,Blondie Plays Cupid,Go West, Young Lady",(1.77 m,"September 15, 1908","Philadelphia, Pennsylvania, USA"
"Actor,Soundtrack",no awards no nominations,"New York 1997,Il Buono, Il Brutto, Il Cattivo,Per qualche dollaro in più,The Man Who Shot Liberty Valance",(1.87 m,"January 9, 1925","Somerville, New Jersey, USA"
"Actor,Visual Effects,Producer",no awards no nominations,"In the Dark,Into the Dark,Teen Wolf,Eye Candy",1.96 m,"April 25, 1987","Santa Clara, California, USA"
"Actress,Director,Writer",no awards no nominations,"Gotham,The Crown,Breaking In,Being Human",1.65 m,"May 17, 1986","Penarth, Wales, UK"
"Actress,Producer",no awards no nominations,"Bully,The Guiding Light,The Black Dahlia,The Butterfly Effect 3: Revelations",(1.59 m,"July 29, 1980","New York City, New York, USA"
"Actress,Producer,Director",no awards no nominations,"Boy Meets World,Girl Meets World,Boiling Pot,Dorm Daze",1.55 m,"May 5, 1981","Mesa, Arizona, USA"
"Actor,Producer,Director",no awards no nominations,"Once Upon a Time,Risky Business,Murder in the First,The Bird Who Could Fly",(1.80 m,"February 12, 1964","New York City, New York, USA"
"Actress,Soundtrack",no awards no nominations,"Argo,Red State,Sex and the City,How It Ends",1.73 m,"May 1, 1984","New Jersey, USA"
Actress,no awards no nominations,"Merlin's Apprentice,Higher Ground,John Tucker Must Die,Intelligence",1.70 m,"August 20, 1982","Victoria, British Columbia, Canada"
"Actor,Producer,Writer",no awards no nominations,"Build My Gallows High,The Night of the Hunter,The Longest Day,The Enemy Below",3 m,"August 6, 1917","Bridgeport, Connecticut, USA"
"Actor,Producer,Director",no awards no nominations,"Don Jon,Who's the Boss?,Taxi,Angels in the Outfield",1.75 m,"April 21, 1951","Brooklyn, New York City, New York, USA"
Actress,no awards no nominations,"Drag Me to Hell,White Oleander,Matchstick Men,Big Fish",1.57 m,"September 18, 1979","Palm Springs, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Kiss Kiss Bang Bang,Major League,Major League II,The Dentist", (1.80 m,"September 7, 1954","North Hollywood, Los Angeles, California, USA"
"Actor,Music Department,Producer",no awards no nominations,"House M.D.,Love & Basketball,Dracula 2000,Juice", (1.79 m,"July 20, 1973","Brooklyn, New York, USA"
Actress,no awards no nominations,"Reach Me,Tulsa King,Entertainment Tonight,Access Hollywood", (1.79 m,"May 25, 2002","Los Angeles, California, USA"
"Actress,Director,Producer",no awards no nominations,"Tammy's Always Dying,Mighty Morphin Power Rangers: The Movie,Felicity,Flashpoint",1.57 m,"October 6, 1970","Cape Cod, Massachusetts, USA"
"Actress,Director,Writer",no awards no nominations,"Mythic Quest: Raven's Banquet,Life of the Party,Better Call Saul,Veep",1.57 m,"October 6, 1970","Cape Cod, Massachusetts, USA"
"Actor,Producer,Writer",no awards no nominations,"The Hundred-Foot Journey,Big Ears,Final Score,Last Christmas",1.85 m,"April 26, 1981","England, UK"
