prof,awards,famous,height,dob,birthplace
"Actress,Producer",no awards no nominations,"Män som hatar kvinnor,Prometheus,Flickan som lekte med elden,Sherlock Holmes: A Game of Shadows",(1.63 m,"December 28, 1979","Hudiksvall, Gävleborgs län, Sweden"
"Actor,Producer,Director",no awards no nominations,"Tootsie,The Graduate,Rain Man,Midnight Cowboy",(1.67 m,"August 8, 1937","Los Angeles, California, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Furious 6,Fast Five,Interceptor,Snakes on a Plane",(1.61 m,"July 18, 1976","Madrid, Spain"
"Actor,Writer,Producer",no awards no nominations,"Lost in Translation,Rushmore,The Life Aquatic with Steve Zissou,Moonrise Kingdom",1.88 m,"September 21, 1950","Wilmette, Illinois, USA"
"Actress,Additional Crew,Producer",no awards no nominations,"G.I. Joe: The Rise of Cobra,American Sniper,Layer Cake,The Lost City of Z",1.65 m,"December 28, 1981","New York City, New York, USA"
"Actor,Producer",no awards no nominations,"Halloween,Mudbound,Nashville,Laggies",3 m,"February 11, 1994","Seattle, Washington, USA"
"Actress,Soundtrack",no awards no nominations,"The Longest Ride,Game of Thrones,Quantum of Solace,The Devil's Double",1.70 m,"June 4, 1986","Madrid, Spain"
"Actress,Producer,Art Director",no awards no nominations,"One Tree Hill,Bees' Secret Life,Surprised by Love,Extant",(1.71 m,"July 1, 1982","Sterling, Virginia, USA"
"Actress,Writer,Producer",no awards no nominations,"When in Rome,Steven Universe,The LEGO Batman Movie,DuckTales",1.57 m,"March 31, 1980","New Jersey, USA"
"Actress,Producer,Writer",no awards no nominations,"She's All That,Love, Guaranteed,A Midsummer Night's Dream,11:14",1.57 m,"October 4, 1979","Minneapolis, Minnesota, USA"
"Actress,Writer,Producer",no awards no nominations,"Orange Is the New Black,Encanto,Emoticon ;),Doom Patrol",1.57 m,"July 21, 1986","Passaic, New Jersey, USA"
"Actor,Producer,Writer",no awards no nominations,"The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,Into the Storm",(1.89 m,"August 22, 1971","Leicester, Leicestershire, England, UK"
"Actress,Soundtrack",no awards no nominations,"Breakfast at Tiffany's,Roman Holiday,Charade,My Fair Lady",1.70 m,"May 4, 1929","Ixelles, Brussels, Belgium"
"Actress,Soundtrack",no awards no nominations,"Brave New World,Harlots,Hamlet,Black Mirror",1.65 m,"September 14, 1989","Cookham, Berkshire, England, UK"
"Actress,Writer,Director",no awards no nominations,"Until Dawn,Model Minority,Project X,Superstore",1.70 m,"December 15, 1989","Santa Clara County, California, USA"
"Actor,Producer,Director",no awards no nominations,"The Talented Mr. Ripley,Closer,The Grand Budapest Hotel,Sky Captain and the World of Tomorrow",(1.78 m,"December 29, 1972","Lewisham, London, England, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"Belfast,Outlander,Ford v. Ferrari,Escape Plan",1.75 m,"October 4, 1979","Dublin, Ireland"
Actress,no awards no nominations,"Wildflower,Wolf Pack,Entertainment Tonight",1.73 m,"October 4, 1979","Dublin, Ireland"
"Actress,Director,Music Department",no awards no nominations,"Supergirl,Whiplash,Patriots Day,Jay and Silent Bob Reboot",1.73 m,"October 4, 1988","Littleton, Colorado, USA"
Actress,no awards no nominations,"Dear Edward,Poker Face,New Amsterdam,All Rise",1.70 m,"November 21, 1995","Los Angeles, California"
"Actor,Producer,Soundtrack",no awards no nominations,"Riverdale,White Chicks,Unforgiven,Scary Movie",(1.80 m,"February 12, 1966","Lac La Hache, British Columbia, Canada"
"Actor,Producer,Soundtrack",no awards no nominations,"The Hurt Locker,Bobby,Flight,The Guardian",(1.78 m,May 13,"Toms River, New Jersey, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Orphan Black,Stronger,Cas & Dylan,Ginger Snaps 2: Unleashed",1.63 m,"September 22, 1985","Regina, Saskatchewan, Canada"
"Producer,Actor,Director",no awards no nominations,"The Natural,Ordinary People,Butch Cassidy and the Sundance Kid,All the President's Men", (1.79 m,"August 18, 1936","Santa Monica, California, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Congo,Clue,The Rocky Horror Picture Show,The Three Musketeers",(1.72 m,"April 19, 1946","Grappenhall, Cheshire, England, UK"
Actor,no awards no nominations,"Happy Valley,The Messenger,The Runaways,The Snow Maze",(1.72 m,"April 19, 1946","Grappenhall, Cheshire, England, UK"
"Actor,Producer,Director",no awards no nominations,"Rogue One,Y tu mamá también,The Book of Life,Open Range",(1.76 m,"December 29, 1979","Mexico City, Distrito Federal, Mexico"
"Actress,Producer",no awards no nominations,"G.I. Joe: The Rise of Cobra,Star Trek,Continuum,The Amityville Horror",(1.78 m,"January 8, 1980","Augusta, Maine, USA"
"Actress,Producer",no awards no nominations,"Mystic River,The Mist,Into the Wild,Pollock",(1.64 m,"August 14, 1959","La Jolla, California, USA"
"Actor,Music Department,Soundtrack",no awards no nominations,"Dunkirk,The Goldfinch,Cilla,War & Peace",(1.74 m,"May 8, 1987","Ogwr, Mid Glamorgan, Wales, UK"
"Actress,Producer",no awards no nominations,"It Follows,Independence Day: Resurgence,The 5th Wave,The Guest",1.65 m,"May 29, 1993","Santa Barbara, California, USA"
"Actress,Producer,Director",no awards no nominations,"NCIS,Almost Famous,Superman vs. The Elite,Brochet Bear",(1.78 m,"March 27, 1969","New Orleans, Louisiana, USA"
Actor,no awards no nominations,"The Departed,13 Hours,World War Z,Iron Man Three",(1.78 m,"May 1, 1978","New York City, New York, USA"
"Actress,Writer,Producer",no awards no nominations,"Dodgeball,The Wedding Singer,Zoolander,A Very Brady Sequel",1.68 m,"July 30, 1971","Allentown, Pennsylvania, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Dexter,Hawaii Five-0,Defiance,Rambo 4",1.63 m,"May 1, 1972","Pittsburgh, Pennsylvania, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"Back to the Future,Back to the Future Part II,Spin City,The Frighteners",(1.63 m,"June 9, 1961","Edmonton, Alberta, Canada"
"Actress,Producer",no awards no nominations,"Wrong Turn,You Don't Mess with the Zohan,100 Girls,Waiting...",1.60 m,"December 10, 1975","Montreal, Quebec, Canada"
"Actress,Producer",no awards no nominations,"EuroTrip,Smallville,Street Fighter: The Legend of Chun-Li,Beauty and the Beast",1.63 m,"December 30, 1982","Vancouver, British Columbia, Canada"
Actress,no awards no nominations,"Zero Dark Thirty,A Quiet Passion,Little Men,Pride and Prejudice",1.70 m,"December 29, 1969","Winston-Salem, North Carolina, USA"
"Actor,Director,Writer",no awards no nominations,"The Fly,Dead Ringers,eXistenZ,Crash",1.75 m,"March 15, 1943","Toronto, Ontario, Canada"
"Actor,Director,Writer",no awards no nominations,"The Fugitive,No Country for Old Men,The Homesman,Lincoln",3 m,"September 15, 1946","San Saba, Texas, USA"
"Director,Writer,Editor",no awards no nominations,"Dune,Blade Runner 2049,Arrival,Incendies", (1.82 m,"October 3, 1967","Trois-Rivières, Québec, Canada"
"Actor,Soundtrack",no awards no nominations,"Whiplash,Juno,La La Land,Spider-Man",(1.77 m,"January 9, 1955","Grosse Pointe, Michigan, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Star Wars: The Force Awakens,Star Wars: The Last Jedi,Murder on the Orient Express,Star Wars: Episode IX - The Rise of Skywalker",1.70 m,"April 10, 1992","London, England, UK"
"Producer,Writer,Actor",no awards no nominations,"Ride Along,Central Intelligence,Grudge Match,The Secret Life of Pets",1.57 m,"July 6, 1979","Philadelphia, Pennsylvania, USA"
"Actor,Music Department,Soundtrack",no awards no nominations,"The Flash,Supergirl,Superhero Fight Club,Arrow",3 m,"January 14, 1990","Norfolk, Virginia, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"L.A. Confidential,Batman,Cellular,Wayne's World 2",(1.72 m,"December 8, 1953","Athens, Georgia, USA"
"Actress,Soundtrack",no awards no nominations,"Gamer,Psych,Cleaner,Pleasantville",(1.61 m,"August 12, 1980","Louisville, Kentucky, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Nick and Norah's Infinite Playlist,Thor,Thor: The Dark World,Charlie Bartlett",(1.64 m,"June 13, 1986","Philadelphia, Pennsylvania, USA"
"Actor,Producer,Director",no awards no nominations,"Crossroads,Doctor Strange in the Multiverse of Madness,Safe,Star Trek: Strange New Worlds", (1.82 m,"February 25, 1973","White Bluff, Tennessee, USA"
"Actor,Producer,Art Department",no awards no nominations,"The Big Lebowski,Crazy Heart,True Grit,Starman",1.85 m,"December 4, 1949","Los Angeles, California, USA"
"Actress,Producer,Director",no awards no nominations,"Alita: Battle Angel,Maze Runner: The Scorch Trials,The Maze Runner: The Death Cure,Bird Box",1.63 m,"July 16, 1985","Washington D.C., USA"
"Actor,Director,Stunts",no awards no nominations,"Doctor Who,The Crown,Morbius,Last Night in Soho", (1.82 m,"October 28, 1982","Northampton, Northamptonshire, England, UK"
"Actor,Producer,Writer",no awards no nominations,"Grosse Pointe Blank,High Fidelity,1408,Say Anything...",1.88 m,"June 28, 1966","Evanston, Illinois, USA"
"Actress,Producer,Director",no awards no nominations,"Annie Hall,Something's Gotta Give,Love and Death,Reds",(1.69 m,"January 5, 1946","Los Angeles, California, USA"
"Actress,Producer,Director",no awards no nominations,"The Curious Case of Benjamin Button,Hidden Figures,Hustle & Flow,The Karate Kid",1.63 m,"September 11, 1970","Washington D.C., USA"
Actress,no awards no nominations,"The White Lotus,Gli indifferenti,Zero,Euphony",(1.61 m,"May 6, 1993","Rome, Lazio, Italy"
"Actor,Producer,Writer",no awards no nominations,"Mulholland Dr.,Your Highness,American Psycho,The Girl on the Train",1.75 m,"August 10, 1971","Washington, District of Columbia, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"The Deer Hunter,Catch Me If You Can,Hairspray,The Prophecy",3 m,"March 31, 1943","Astoria, Queens, New York City, New York, USA"
Actress,no awards no nominations,"Downton Abbey,Boy A,Happy Valley,Rita, Sue and Bob Too",3 m,"April 27, 1966","Oldham, Lancashire, England, UK"
"Actor,Producer,Director",no awards no nominations,"Very Bad Things,True Romance,Broken Arrow,Robin Hood: Prince of Thieves",1.73 m,"August 18, 1969","New York City, New York, USA"
"Actor,Producer,Director",no awards no nominations,"Hand of God,Hellboy II: The Golden Army,Hellboy,Beauty and the Beast",(1.80 m,"April 13, 1950","New York City, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"End of Watch,Paranormal Activity: The Marked Ones,Walk of Shame,American Crime",1.75 m,"August 28, 1984","East Los Angeles, California, USA"
"Actress,Producer,Director",no awards no nominations,"Bones,Boogeyman,Spider-Man 2,Cold Mountain",1.75 m,"October 11, 1976","Los Angeles, California, USA"
Actor,no awards no nominations,"Ticket to Paradise,Mrs.Harris Goes to Paris,Emily in Paris,La crème de la crème",1.85 m,"March 26, 1988","Nice, France"
"Actor,Producer,Soundtrack",no awards no nominations,"Lucifer,Isn't It Romantic,Miranda,Buffalo Soldiers",1.91 m,"November 17, 1978","Cardiff, Wales, UK"
"Actress,Producer,Director",no awards no nominations,"Jessica Jones,Big Eyes,Don't Trust the B---- In Apartment 23,Breaking Bad",1.75 m,"December 16, 1981","Bloomsburg, Pennsylvania, USA"
"Actress,Executive,Soundtrack",no awards no nominations,"Cheat,Criminal: United Kingdom,Happy Valley,Mr Selfridge",1.70 m,"November 19, 1979","Barnsley, Yorkshire, England, UK"
Actor,no awards no nominations,"Cowboy Bebop,The Sandman,Before You Know It,iCarly",1.70 m,"July 12, 1995","Fairfax, Virginia, USA"
"Director,Writer,Producer",no awards no nominations,"Nope,Get Out,Us,Wendell & Wild",(1.71 m,"February 21, 1979","New York City, New York, USA"
"Actor,Director,Writer",no awards no nominations,"Harry Potter and the Philosopher's Stone,Harry Potter and the Half-Blood Prince,Rise of the Planet of the Apes,Harry Potter and the Deathly Hallows: Part 1",(1.71 m,"September 22, 1987","Epsom, Surrey, England, UK"
Actress,no awards no nominations,"Les Misérables,Nocturnal Animals,Pride and Prejudice and Zombies,The Nutcracker and the Four Realms",1.68 m,"February 2, 1997","Surrey, England, UK"
Actor,no awards no nominations,"Stargate,Independence Day,Godzilla,Night Man",3 m,January 1,"Bakersfield, California, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Pitch Perfect,The Help",1.65 m,"September 27, 1982","Aiken, South Carolina, USA"
"Actor,Soundtrack",no awards no nominations,"Young Sheldon,Scoob!,The Glass Castle,Big Little Lies",1.68 m,"July 15, 2008","Georgia, USA"
"Actress,Costume and Wardrobe Department",no awards no nominations,"Curfew,A Quiet Passion,Mrs.Harris Goes to Paris,Locked In",1.65 m,"February 18, 1994","Ealing, London, England, UK"
"Actress,Music Department,Producer",no awards no nominations,"Carriers,Mad Men,When Marnie Was There,The Legend of Korra",1.57 m,"November 10, 1999","Chicago, Illinois, USA"
"Actress,Producer,Director",no awards no nominations,"Law & Order: Special Victims Unit,Tales from Earthsea,Lake Placid,Leaving Las Vegas",(1.71 m,"January 23, 1964","Santa Monica, California, USA"
"Actress,Producer,Director",no awards no nominations,"The Perks of Being a Wallflower,The Final Girls,xXx: Return of Xander Cage,Let's Be Cops",1.70 m,"January 9, 1989","Sofia, Bulgaria"
Actress,no awards no nominations,"Firefly,Serenity,Blindspot",1.68 m,"June 2, 1982","White Rock, British Columbia, Canada"
"Actress,Soundtrack",no awards no nominations,"Cloverfield,The Unborn,You Again,The Double",(1.74 m,"May 10, 1985","Los Angeles, California, USA"
"Actress,Writer,Director",no awards no nominations,"Californication,Twin Peaks,You,Bombshell",1.73 m,"September 16, 1985","New Haven, Connecticut, USA"
"Actor,Producer,Director",no awards no nominations,"The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,Eternal Sunshine of the Spotless Mind",1.65 m,"January 28, 1981","Cedar Rapids, Iowa, USA"
"Actor,Producer,Director",no awards no nominations,"Teen Wolf,Maid in Manhattan,Truth or Dare,Scary Movie 5",(1.78 m,"October 18, 1991","Santa Monica, California, USA"
"Actor,Writer,Producer",no awards no nominations,"Rogue One,Firefly,I, Robot,A Knight's Tale",(1.80 m,"March 16, 1971","El Paso, Texas, USA"
"Actress,Writer,Producer",no awards no nominations,"Sherlock,Brian and Charles,Back,Clique",1.60 m,"March 27, 1979","Northampton, Northamptonshire, England, UK"
"Actress,Producer",no awards no nominations,"Superman Returns,21,Win a Date with Tad Hamilton!,Blue Crush",1.65 m,"January 2, 1983","Los Angeles, California, USA"
"Actor,Producer,Director",no awards no nominations,"The Master,Capote,Before the Devil Knows You're Dead,Almost Famous",(1.77 m,"July 23, 1967","Fairport, New York, USA"
"Actress,Soundtrack",no awards no nominations,"Mr. Turner,Mum,Pennyworth,Harlots",1.57 m,1966,"Mansfield, Nottinghamshire, England, UK"
"Actor,Director,Producer",no awards no nominations,"Independence Day,Independence Day: Resurgence,Spaceballs,Lost Highway",1.85 m,"December 17, 1953","Hornell, New York, USA"
"Writer,Producer,Actor",no awards no nominations,"Chernobyl,The Hangover Part II,Identity Thief,The Huntsman: Winter's War",1.85 m,"April 8, 1971","Brooklyn, New York, USA"
"Actor,Writer,Producer",no awards no nominations,"The Station Agent,Ant-Man,Blue Jasmine,Parker",1.88 m,"May 3, 1970","Union City, New Jersey, USA"
Actress,no awards no nominations,"Death Wish,Never Goin' Back,Marmalade,Valley Girl",1.75 m,"June 16, 1997","Los Angeles, USA"
Actress,no awards no nominations,"Thor,Thor: The Dark World,Thor: Love and Thunder,The Last Stand",1.75 m,"March 12, 1984","Columbia, South Carolina, USA"
Actress,no awards no nominations,"Kalifornia,True Blood,Escape from L.A.,The Hunger Games: Mockingjay - Part 2",1.75 m,"January 8, 1965","Austin, Texas, USA"
"Actress,Director,Producer",no awards no nominations,"Encanto,Brooklyn Nine-Nine,Short Term 12,The LEGO Movie 2: The Second Part",1.68 m,"February 10, 1981","Neuquén, Argentina"
"Actress,Producer,Camera and Electrical Department",no awards no nominations,"Flashdance,The Book of Eli,The Bride,Four Rooms",1.73 m,"December 19, 1963","Chicago, Illinois, USA"
"Actress,Producer,Writer",no awards no nominations,"Parks and Recreation,Celeste & Jesse Forever,The Social Network,I Love You, Man",1.63 m,"February 25, 1976","Los Angeles, California, USA"
"Actress,Soundtrack",no awards no nominations,"Peaky Blinders,Luther,Detectorists,Skins",1.55 m,1987,"Newport, Monmouthshire, Wales, UK"
"Actor,Writer,Producer",no awards no nominations,"96,Master,Vikram Vedha,Super Deluxe",1.75 m,"January 16, 1978","Rajapalayam, Tamil Nadu, India"
"Actor,Director,Writer",no awards no nominations,"Ghost,The Last Samurai,The Mechanic,The Last House on the Left",1.88 m,"May 20, 1960","Los Angeles, California, USA"
"Actor,Writer,Producer",no awards no nominations,"Magic Mike XXL,John Wick,The Punisher,The Longest Yard",(2.08 m,"July 9, 1959","Detroit, Michigan, USA"
"Actor,Producer,Director",no awards no nominations,"Mad Men,The Town,Million Dollar Arm,Tag",(1.86 m,"March 10, 1971","St. Louis, Missouri, USA"
"Actress,Soundtrack",no awards no nominations,"The Sopranos,Entourage,Dark Ride,I Do",1.60 m,"May 15, 1981","Jericho, Long Island, New York, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Buffy the Vampire Slayer,Inspector Gadget,17 Again,Mysterious Skin",(1.71 m,"October 11, 1985","New York City, New York, USA"
Actress,no awards no nominations,"Yellowstone,Tacoma FD,The Iron Orchard,Hart of Dixie",1.68 m,"March 20, 1990","Dallas, Texas, USA"
"Actress,Producer,Additional Crew",no awards no nominations,"Thelma & Louise,Dead Man Walking,Stepmom,The Client",1.65 m,"October 4, 1946","New York City, New York, USA"
Actress,no awards no nominations,"Kingpin,Superbabies: Baby Geniuses 2,Stop! Or My Mom Will Shoot,King of New York",1.73 m,"November 10, 1966","London, England, UK"
Actress,no awards no nominations,"Derry Girls,The Five,The Flash,Upgraded",1.73 m,"November 24, 1993","Londonderry, Northern Ireland, UK"
"Actress,Producer,Director",no awards no nominations,"La Môme,Inception,De Rouille Et D'os,Deux jours, une nuit",(1.66 m,"September 30, 1975","Paris, France"
"Actor,Writer,Producer",no awards no nominations,"Double Impact,The Colony,Kickboxer,JCVD",(1.77 m,"October 18, 1960","Berchem-Sainte-Agathe, Brussels, Belgium"
"Actor,Producer,Stunts",no awards no nominations,"The French Connection,The Royal Tenenbaums,Unforgiven,The Poseidon Adventure",(1.87 m,"January 30, 1930","San Bernardino, California, USA"
"Actress,Writer",no awards no nominations,"The GIrl,The Contract,Bait,Detroit 1-8-7",1.70 m,"February 15, 1970","Sacramento, California, USA"
"Actress,Music Department,Producer",no awards no nominations,"88 Minutes,Dune,Urban Legend,Vanilla Sky",(1.74 m,"August 21, 1975","Worcester, Massachusetts, USA"
"Actress,Director,Producer",no awards no nominations,"Shameless,Rizzoli & Isles,NCIS,Mission: Impossible III",1.65 m,"May 17, 1973","Los Angeles, California, USA"
"Actress,Producer,Director",no awards no nominations,"Planet Terror,Jawbreaker,Grindhouse,Charmed",1.63 m,"September 5, 1973","Florence, Tuscany, Italy"
"Actor,Music Department,Soundtrack",no awards no nominations,"Heartstopper,Doom Patrol,Horrible Histories: The Movie - Rotten Romans,Love, Death & Robots",,,
"Actress,Producer,Director",no awards no nominations,"Wednesday,The Beta Test,Dear White People,Freshman Year",1.65 m,September 25,"Staten Island, New York"
"Actress,Producer,Soundtrack",no awards no nominations,"Suits,Chicago Med,Grey's Anatomy,Six Feet Under",1.75 m,"December 6, 1972","New Canaan, Connecticut, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Disaster Movie,4: Rise of the Silver Surfer,How I Met Your Mother,Dads",1.70 m,"November 9, 1980","Clark Air Force Base, Philippines"
"Actor,Soundtrack",no awards no nominations,"Dark City,The Illusionist,A Knight's Tale,Judy",3 m,"October 29, 1967","Twickenham, Middlesex, England, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"ER,Liar Liar,Beautiful Boy,Insomnia",1.60 m,"February 3, 1965","Boston, Massachusetts, USA"
"Actress,Soundtrack",no awards no nominations,"Harry Potter and the Half-Blood Prince,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Order of the Phoenix,Harry Potter and the Deathly Hallows: Part 1",(1.58 m,"August 16, 1991","Termonfeckin, Ireland"
"Actress,Director,Producer",no awards no nominations,"Shazam!,Fall,Annabelle: Creation,Revenge",1.70 m,"July 17, 1996",USA
"Actress,Director,Writer",no awards no nominations,"My Life Without Me,Dawn of the Dead,The Sweet Hereafter,Go",1.57 m,"January 8, 1979","Toronto, Ontario, Canada"
"Actress,Director,Writer",no awards no nominations,"Portrait of a Lady on Fire,Tár,Mi iubita, mon amour,L'innocent",(1.76 m,"November 27, 1988","Paris, France"
"Actress,Soundtrack",no awards no nominations,"The Craft,Almost Famous,Return to Oz,American History X",1.60 m,"May 21, 1974","Point Reyes, California, USA"
"Actress,Director,Producer",no awards no nominations,"Girl, Interrupted,Knocked Up,Growing Pains,No Dessert, Dad, Till You Mow the Lawn",(1.74 m,"February 12, 1953","San Francisco, California, USA"
"Actor,Producer,Writer",no awards no nominations,"The School of Rock,High Fidelity,Nacho Libre,King Kong",1.68 m,"August 28, 1969","Hermosa Beach, California, USA"
"Actor,Soundtrack",no awards no nominations,"Outer Range,Top Gun: Maverick,Bad Times at the El Royale,Catch-22",3 m,"January 29, 1993","Los Angeles, California, USA"
"Director,Editor,Writer",no awards no nominations,"Triangle of Sadness,Force Majeure,The Square,Involuntary", (1.82 m,"April 13, 1974","Styrsö, Västra Götalands län, Sweden"
"Actress,Soundtrack",no awards no nominations,"CODA,Brimstone,Youth,High Rise",1.68 m,"February 23, 2002","London, England, UK"
Actress,no awards no nominations,"Just Like Heaven,Running Scared,Love Actually,Paycheck",1.75 m,"April 26, 1974","Sarajevo, Bosnia and Herzegovina"
"Actress,Producer,Writer",no awards no nominations,"A History of Violence,The Cooler,Coyote Ugly,Lights Out",1.65 m,"April 18, 1967","Norristown, Pennsylvania, USA"
Actress,no awards no nominations,"Winnie the Pooh: Blood and Honey,Perfectly Frank,Dinosaur Prison",1.70 m,"April 18, 1967","Norristown, Pennsylvania, USA"
"Actress,Soundtrack",no awards no nominations,"National Treasure: Edge of History,Parenthood,Step Sisters,I'm Sorry.",(1.61 m,June 7,"Pensacola, Florida, USA"
"Actor,Producer",no awards no nominations,"Harry Potter and the Half-Blood Prince,After,After We Collided,The Silencing",1.88 m,"November 6, 1997","London, England, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"Serenity,Terminator: The Sarah Connor Chronicles,Firefly,Knights of Badassdom",(1.66 m,"July 24, 1981","San Antonio, Texas, USA"
"Actor,Producer,Director",no awards no nominations,"Mean Girls,Awkward.,The Christmas House,Van Wilder: Freshman Year",1.88 m,"June 10, 1981","Rossford, Ohio, USA"
"Actress,Writer,Editorial Department",no awards no nominations,"Werewolves Within,This Is Us,Mother's Little Helpers,@midnight",1.60 m,"March 8, 1987","Tashkent, Uzbek SSR, USSR [now Uzbekistan]"
"Actor,Producer,Director",no awards no nominations,"One Tree Hill,House of Wax,A Cinderella Story,Freaky Friday",3 m,"August 24, 1981","Buffalo, New York, USA"
"Actor,Stunts,Additional Crew",no awards no nominations,"Tommy Boy,Beverly Hills Ninja,Black Sheep,Coneheads",1.73 m,"February 15, 1964","Madison, Wisconsin, USA"
"Director,Writer,Producer",no awards no nominations,"2001: A Space Odyssey,Barry Lyndon,A Clockwork Orange,Full Metal Jacket",(1.69 m,"July 26, 1928","New York City, New York, USA"
"Actor,Director,Writer",no awards no nominations,"Animal Kingdom,Southland,Alpha Dog,The Faculty",1.75 m,"December 29, 1975","Frederick, Maryland, USA"
"Actress,Writer,Soundtrack",no awards no nominations,"Bound,Bride of Chucky,Seed of Chucky,Bullets Over Broadway",1.70 m,"September 16, 1958","Harbor City, California, USA"
"Actress,Producer,Writer",no awards no nominations,"The Eternals,Humans,Let Them All Talk,Crazy Rich Asians",1.75 m,November 29,"London, England, UK"
"Actress,Writer,Producer",no awards no nominations,"Chewing Gum,I May Destroy You,Black Panther: Wakanda Forever,Star Wars: The Last Jedi",1.65 m,"October 1, 1987","London, England, UK"
