prof,awards,famous,height,dob,birthplace
"Actor,Additional Crew,Producer",no awards no nominations,"Birdman or (The Unexpected Virtue of Ignorance),Spotlight,The Founder,Batman",1.75 m,"September 5, 1951","Coraopolis, Pennsylvania, USA"
"Actor,Producer,Director",no awards no nominations,"Top Gun,The Last Samurai,Jerry Maguire,Mission: Impossible II",1.70 m,"July 3, 1962","Syracuse, New York, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Casper,Buffalo '66,Black Snake Moan,Speed Racer",(1.55 m,"February 12, 1980","Santa Monica, California, USA"
"Actress,Producer,Executive",no awards no nominations,"Suicide Squad,The Wolf of Wall Street,I, Tonya,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn",1.68 m,"July 2, 1990","Dalby, Queensland, Australia"
Actress,no awards no nominations,"Once Upon a Time... In Hollywood,The Haunting of Bly Manor,You,The Haunting of Hill House",1.60 m,"March 23, 1995","Philadelphia, Pennsylvania, USA"
"Actress,Additional Crew",no awards no nominations,"Rose Island,Veloce Come Il Vento,Atlas,Rumori",(1.66 m,"September 11, 1995","Bologna, Emilia-Romagna, Italy"
"Actor,Writer,Producer",no awards no nominations,"Raiders of the Lost Ark,The Fugitive,Witness,Star Wars",1.85 m,"July 13, 1942","Chicago, Illinois, USA"
"Actress,Producer,Writer",no awards no nominations,"Suicide Squad,Paper Towns,Valerian and the City of a Thousand Planets,Anna Karenina",1.73 m,"August 12, 1992","London, England, UK"
Actress,no awards no nominations,"Countdown,You,Once Upon a Time,Unintended",1.73 m,"March 25, 1992","Williamson County, Texas, USA"
"Actor,Producer,Director",no awards no nominations,"The Perks of Being a Wallflower,We Need to Talk About Kevin,Justice League,Suicide Squad",(1.80 m,"September 30, 1992","Hoboken, New Jersey, USA"
"Actress,Soundtrack",no awards no nominations,"The Queen's Gambit,The VVitch: A New-England Folktale,The New Mutants,Morgan",1.73 m,"April 16, 1996","Miami, Florida, USA"
"Actor,Producer,Art Department",no awards no nominations,"The Mummy,Crash,The Mummy Returns,The Whale",1.91 m,"December 3, 1968","Indianapolis, Indiana, USA"
Actress,no awards no nominations,"Dumbo,Reminiscence,The Last of Us,The Third Day",,,
"Actor,Producer,Soundtrack",no awards no nominations,"Whiplash,The Spectacular Now,Fantastic Four,Insurgent",1.85 m,"February 20, 1987","Downingtown, Pennsylvania, USA"
Actress,no awards no nominations,"1883,Alexa & Katie,I Want You Back,Young Sheldon",1.75 m,"November 21, 2000","Santa Monica, California, USA"
"Actor,Producer",no awards no nominations,"2 Fast 2 Furious,Dazed and Confused,Good Will Hunting,Rogue",1.85 m,"March 22, 1975","Santa Barbara, California, USA"
"Actress,Producer,Writer",no awards no nominations,"Game of Thrones,The Tudors,The Hunger Games: Mockingjay - Part 2,Penny Dreadful: City of Angels",(1.67 m,"February 11, 1982","Reading, Berkshire, England, UK"
"Producer,Actor,Writer",no awards no nominations,"Inception,Titanic,The Departed,The Aviator",3 m,"November 11, 1974","Hollywood, Los Angeles, California, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"The Falling,Marcella,Lady Macbeth,The Commuter",(1.62 m,"January 3, 1996","Oxford, Oxfordshire, England, UK"
"Actor,Producer,Writer",no awards no nominations,"Kick-Ass,Nocturnal Animals,Nowhere Boy,Kick-Ass 2",(1.80 m,"June 13, 1990","High Wycombe, Buckinghamshire, England, UK"
"Actress,Writer,Producer",no awards no nominations,"Lars and the Real Girl,Superstore,Swamp Mama,The Disaster Artist",1.70 m,"February 4, 1983","Belleville, Ontario, Canada"
"Actor,Producer,Soundtrack",no awards no nominations,"War for the Planet of the Apes,Joy Ride,Rescue Dawn,Sahara",(1.71 m,"November 13, 1967","Marshall, Minnesota, USA"
"Actor,Producer,Writer",no awards no nominations,"Ant-Man,Ant-Man and the Wasp,I Love You, Man,The Perks of Being a Wallflower",(1.78 m,"April 6, 1969","Passaic, New Jersey, USA"
"Producer,Actor,Executive",no awards no nominations,"Ad Astra,Mr. & Mrs. Smith,Twelve Monkeys,Moneyball",(1.80 m,"December 18, 1963","Shawnee, Oklahoma, USA"
"Actress,Producer",no awards no nominations,"Jane the Virgin,Paradise Lost,Devil's Gate,John Wick",1.75 m,"February 3, 1982","San Diego County, California, USA"
Actress,no awards no nominations,"Cocoon,Sleeping Beauty,Cocoon: The Return,I Shot Andy Warhol",1.68 m,"December 26, 1961","San Diego, California, USA"
"Actress,Producer,Director",no awards no nominations,"Frida,Desperado,Savages,Wild Wild West",1.57 m,"September 2, 1966","Coatzacoalcos, Veracruz, Mexico"
"Producer,Actor,Writer",no awards no nominations,"Argo,Gone Girl,The Town,Good Will Hunting",(1.89 m,"August 15, 1972","Berkeley, California, USA"
"Actor,Producer,Music Department",no awards no nominations,"Devs,The Great North,Pam and Tommy,A Parks and Recreation Special",(1.80 m,"June 26, 1970","Joliet, Illinois, USA"
"Actress,Producer,Director",no awards no nominations,"The Hunger Games,The Hunger Games: Mockingjay - Part 1,The Lego Movie,Love & Mercy",(1.64 m,"February 10, 1974","Pittsfield, Massachusetts, USA"
"Actor,Soundtrack",no awards no nominations,"Elvis,Once Upon a Time... In Hollywood,The Dead Don't Die,The Carrie Diaries",3 m,"August 17, 1991","Anaheim, California, USA"
"Actress,Producer,Director",no awards no nominations,"Room,Captain Marvel,Short Term 12,Avengers: Endgame",(1.70 m,"October 1, 1989","Sacramento, California, USA"
"Actress,Soundtrack",no awards no nominations,"The Scorpion King,The Tournament,Friday the 13th Part VIII: Jason Takes Manhattan,Teenage Mutant Ninja Turtles",(1.64 m,"February 13, 1968","Honolulu, Hawaii, USA"
"Actress,Producer",no awards no nominations,"Blade Runner 2049,Knives Out,Blonde,No Time to Die",(1.68 m,"April 30, 1988","Havana, Cuba"
"Actress,Producer,Soundtrack",no awards no nominations,"The World Is Not Enough,Starship Troopers,Wild Things,Love Actually",1.68 m,"February 17, 1971","Downers Grove, Illinois, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Martha Marcy May Marlene,Wind River,Avengers: Infinity War,Avengers: Age of Ultron",1.68 m,"February 16, 1989","Los Angeles, California, USA"
"Actress,Producer",no awards no nominations,"The Fan,Drop Dead Gorgeous,Buckaroo,This Boy's Life",1.68 m,"April 16, 1954","The Bronx, New York City, New York, USA"
"Actress,Director,Producer",no awards no nominations,"The Poseidon Adventure,The Silencers,The Nutty Professor,Say One for Me",1.65 m,"October 1, 1938","Yazoo City, Mississippi, USA"
"Actress,Producer",no awards no nominations,"Pride & Prejudice,Eden Lake,Flight,Sherlock Holmes",1.68 m,"July 18, 1977","Surrey, England, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"The Act,Bullet Train,The Kissing Booth,The Conjuring",1.63 m,"July 30, 1999","Los Angeles, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Black Adam,Jumanji: Welcome to the Jungle,Journey 2: The Mysterious Island,Moana",1.96 m,"May 2, 1972","Hayward, California, USA"
"Actress,Soundtrack",no awards no nominations,"Boy Erased,Outer Banks,Stranger Things",1.68 m,"December 21, 1997","Charleston, South Carolina, USA"
"Actress,Stunts",no awards no nominations,"Ant-Man and the Wasp: Quantumania,The Mandalorian,Z Nation,Love Lies Bleeding",1.70 m,"December 21, 1997","Charleston, South Carolina, USA"
"Actress,Producer,Writer",no awards no nominations,"Safety Not Guaranteed,Emily the Criminal,Ingrid Goes West,Dirty Grandpa",1.68 m,"June 26, 1984","Wilmington, Delaware, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"American Beauty,American Pie,Loser,Rumor Has It...",1.63 m,"February 13, 1979","Newport, Rhode Island, USA"
"Actor,Producer,Director",no awards no nominations,"21 Jump Street,White House Down,22 Jump Street,Foxcatcher",(1.84 m,"April 26, 1980","Cullman, Alabama, USA"
Actress,no awards no nominations,"Jumanji: Welcome to the Jungle,Annabelle Comes Home,Jumanji: The Next Level,Clouds",1.57 m,"February 14, 1997","Myrtle Beach, South Carolina, USA"
"Actress,Writer,Producer",no awards no nominations,"One Mississippi,Army of the Dead,Tig Notaro: Drawn,Instant Family",1.65 m,"March 24, 1971","Jackson, Mississippi, USA"
"Actress,Producer,Director",no awards no nominations,"Friends,Cake,We're the Millers,Just Go with It",(1.64 m,"February 11, 1969","Sherman Oaks, California, USA"
Actress,no awards no nominations,"Man of Steel,Pandorum,Woman in Gold,Criminal",1.70 m,"January 18, 1981","Mittweida, East Germany [now Saxony, Germany]"
"Actress,Writer,Soundtrack",no awards no nominations,"A Mighty Wind,A Cinderella Story,American Pie,Epic Movie",(1.78 m,"August 28, 1961","Boston, Massachusetts, USA"
"Actress,Writer,Stunts",no awards no nominations,"Range 15,Check Point,You Can't Have It,King of the Nerds",1.65 m,"February 14, 1980","Fall River, Massachusetts, USA"
"Actor,Producer,Director",no awards no nominations,"Face/Off,Leaving Las Vegas,The Rock,Next",3 m,"January 7, 1964","Long Beach, California, USA"
"Music Department,Actor",no awards no nominations,"The Book of Boba Fett,WandaVision,Your Place or Mine,Good Girls",1.55 m,"January 7, 1964","Long Beach, California, USA"
"Actress,Producer,Additional Crew",no awards no nominations,"12 Years a Slave,Black Panther,Us,Star Wars: The Force Awakens",1.65 m,"March 1, 1983","Mexico City, Distrito Federal, Mexico"
"Actress,Producer,Writer",no awards no nominations,"Cabin Fever,Not Another Teen Movie,Power Rangers Lost Galaxy,Stuck in the Middle",1.70 m,"February 7, 1979","Las Vegas, Nevada, USA"
"Producer,Actor,Director",no awards no nominations,"Guardians of the Galaxy,The Fast and the Furious,xXx,Fast & Furious 7",(1.80 m,"July 18, 1967","Alameda County, California, USA"
"Actor,Producer,Camera and Electrical Department",no awards no nominations,"300,The Phantom of the Opera,Law Abiding Citizen,The Bounty Hunter",1.88 m,"November 13, 1969","Paisley, Scotland, UK"
"Producer,Actor,Writer",no awards no nominations,"Cast Away,Big,Forrest Gump,Saving Private Ryan",3 m,"July 9, 1956","Concord, California, USA"
"Actress,Producer",no awards no nominations,"A Beautiful Mind,House of Sand and Fog,Requiem for a Dream,Hulk",(1.69 m,"December 12, 1970","Catskill Mountains, New York, USA"
"Actress,Producer,Music Department",no awards no nominations,"What Lies Beneath,Hairspray,One Fine Day,Dangerous Liaisons",(1.71 m,"April 29, 1958","Santa Ana, California, USA"
Actress,no awards no nominations,"EastEnders,You,Marooned Awakening,Children in Need",1.73 m,"August 16, 1997","London, England, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"Cinderella,Pride and Prejudice and Zombies,Mamma Mia! Here We Go Again,Baby Driver",1.70 m,"April 5, 1989","Esher, Surrey, England, UK"
"Producer,Writer,Director",no awards no nominations,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark",(1.72 m,"December 18, 1946","Cincinnati, Ohio, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Little Women,Mr. Jones,Happy Valley,McMafia",1.85 m,"July 18, 1985","London, England, UK"
"Actress,Soundtrack",no awards no nominations,"Uncharted,The 100,The Emoji Movie,Kaleidoscope",1.70 m,"January 25, 1996","Bay Area, San Francisco, California, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"The Matrix,Speed,Point Break,The Matrix Reloaded",1.86 m,"September 2, 1964","Beirut, Lebanon"
Actress,no awards no nominations,"Three Billboards Outside Ebbing, Missouri,Avengers: Infinity War,Better Call Saul,Rome",1.60 m,"January 9, 1983","Tipperary, Ireland"
"Actor,Producer,Soundtrack",no awards no nominations,"Star Wars: The Force Awakens,Paterson,Star Wars: The Last Jedi,Marriage Story",(1.89 m,"November 19, 1983","San Diego, California, USA"
"Actor,Additional Crew,Producer",no awards no nominations,"Man of Steel,Batman v Superman: Dawn of Justice,Justice League,Mission: Impossible - Fallout",1.85 m,"May 5, 1983","Jersey, Channel Islands"
"Actress,Director,Producer",no awards no nominations,"Parks and Recreation,Battle of the Sexes,Abby's,Girls",1.70 m,February 15,"Kendall, Florida, USA"
"Actor,Producer,Editorial Department",no awards no nominations,"The Dark Knight,Batman Begins,The Fighter,American Psycho",3 m,"January 30, 1974","Haverfordwest, Pembrokeshire, Wales, UK"
"Actress,Music Department,Soundtrack",no awards no nominations,"Lady Chatterley's Lover,My Policeman,The Crown,Nosferatu",1.73 m,"December 13, 1995","Royal Tunbridge Wells, Kent, England, UK"
"Actress,Soundtrack",no awards no nominations,"ATL,You People,I Love You, Beth Cooper,This Christmas",1.57 m,"December 5, 1984","Los Angeles, California, USA"
"Actor,Producer,Director",no awards no nominations,"The Lobster,In Bruges,S.W.A.T.,The Banshees of Inisherin",(1.78 m,"May 31, 1976","Castleknock, Dublin, Ireland"
"Actress,Producer,Writer",no awards no nominations,"Eternal Sunshine of the Spotless Mind,Titanic,Revolutionary Road,Sense and Sensibility",(1.69 m,"October 5, 1975","Reading, Berkshire, England, UK"
"Actor,Music Department,Writer",no awards no nominations,"The Catch,Nashville,Dog Years,Secrets and Lies",3 m,"March 4, 1988","Littleton, Colorado, USA"
"Producer,Director,Writer",no awards no nominations,"Lady in the Water,Signs,The Village,The Sixth Sense",(1.78 m,"August 6, 1970","Mahé, Pondicherry, India"
"Writer,Producer,Actor",no awards no nominations,"Hell or High Water,Wind River,Yellowstone,Sicario", (1.79 m,"July 17, 1969","Chapel Hill, North Carolina, USA"
"Actor,Soundtrack",no awards no nominations,"Harry Potter and the Philosopher's Stone,Harry Potter and the Deathly Hallows: Part 1,The Old Guard,Harry Potter and the Order of the Phoenix",1.75 m,"March 13, 1989","London, England, UK"
"Actress,Soundtrack",no awards no nominations,"The Passage,The Exorcist,Ginny & Georgia,I'm Dying Up Here",1.68 m,May 24,"Los Angeles, California, USA"
"Actor,Soundtrack",no awards no nominations,"The Little Mermaid,Little Women,A Dog's Way Home,Postcards from London",(1.87 m,"May 30, 1995","London, England, UK"
"Actress,Producer",no awards no nominations,"Euphoria,The White Lotus,The Handmaid's Tale,Everything Sucks!",(1.61 m,"September 12, 1997","Spokane, Washington, USA"
"Actress,Producer,Director",no awards no nominations,"Oliver & Company,Sister Act 2: Back in the Habit,Abbott Elementary,Moesha",1.70 m,"December 30, 1956","Waterbury, Connecticut, USA"
Actress,no awards no nominations,"Prime Suspect 1973,Crooked House",1.68 m,"October 6, 1990","Bristol, England, UK"
"Actress,Additional Crew,Producer",no awards no nominations,"Gifted,The Handmaid's Tale,I, Tonya,Troop Zero",(1.54 m,"June 25, 2006","Grapevine, Texas, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Birdman or (The Unexpected Virtue of Ignorance),Oblivion,Possessor,W.E.",(1.66 m,"November 20, 1981","Newcastle upon Tyne, Northumberland, England, UK"
"Actress,Producer",no awards no nominations,"The Wall of Mexico,Jane the Virgin,Everybody Loves Raymond,Selena",(1.74 m,"February 12, 1965","Chicago, Illinois, USA"
"Actor,Writer,Producer",no awards no nominations,"Rocky,Creed,Rocky IV,Rocky III",(1.77 m,"July 6, 1946","New York City, New York, USA"
"Actress,Producer,Writer",no awards no nominations,"Underground,Dracula,Pennyworth,The Crown",1.73 m,"February 15, 1988","Perth, Western Australia, Australia"
Actress,no awards no nominations,"The Fabelmans,The Wolf of Snow Hollow,Generation,Kevin (Probably) Saves the World",1.65 m,"February 16, 2001","San Clemente, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Deadpool 2,Deadpool,Buried,The Proposal",1.88 m,"October 23, 1976","Vancouver, British Columbia, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"Clueless,Batman & Robin,Blast from the Past,Excess Baggage",1.65 m,"October 4, 1976","San Francisco, California, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Call Me by Your Name,Lady Bird,Beautiful Boy,Little Women",(1.78 m,"December 27, 1995","New York City, New York, USA"
"Actress,Producer,Writer",no awards no nominations,"Everything Everywhere All at Once,Wo Hu Cang Long,Crazy Rich Asians,Tomorrow Never Dies",1.63 m,"August 6, 1962","Ipoh, Malaysia"
Actress,no awards no nominations,"It,Gretel & Hansel,It Chapter Two,Uncle Frank",2 m,"February 13, 2002","Brooklyn, New York City, New York, USA"
"Actress,Producer",no awards no nominations,"Five Feet Apart,Columbus,Unpregnant,The White Lotus",1.57 m,"March 7, 1995","Phoenix, Arizona, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Prince of Persia: The Sands of Time,Byzantium,The Girl with All the Gifts,Clash of the Titans",1.70 m,"February 2, 1986","Gravesend, Kent, England, UK"
Actress,no awards no nominations,"The Marine,Nip/Tuck,Made of Honor,3000 Miles to Graceland",1.65 m,"February 17, 1976","Minneapolis, Minnesota, USA"
"Music Artist,Actress,Composer",no awards no nominations,"Battleship,Home,Valerian and the City of a Thousand Planets,This Is the End",1.73 m,"February 20, 1988","Bridgetown, St. Michael, Barbados"
Actress,no awards no nominations,"Taylor Swift Feat. Chris Stapleton: I Bet You Think About Me (Taylor's Version),Dance,Access Hollywood,E! Live from the Red Carpet",1.70 m,"October 16, 1992","Orange County, California, USA"
"Actor,Producer,Writer",no awards no nominations,"21 Jump Street,22 Jump Street,The Wolf of Wall Street,Moneyball",1.70 m,"December 20, 1983","Los Angeles, California, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Scooby-Doo,Brokeback Mountain,Avengers: Age of Ultron,The Curse of the Weeping Woman",1.60 m,"June 25, 1975","Redwood City, California, USA"
"Stunts,Actor,Director",no awards no nominations,"The Last of Us,Venom: Let There Be Carnage,No Time to Die,Django",1.93 m,"June 25, 1975","Redwood City, California, USA"
"Actress,Producer,Writer",no awards no nominations,"The Hunger Games,Silver Linings Playbook,American Hustle,X: First Class",1.75 m,"August 15, 1990","Louisville, Kentucky, USA"
"Actor,Producer,Director",no awards no nominations,"Black Panther,Creed,Fruitvale Station,Creed II",3 m,"February 9, 1987","Santa Ana, California, USA"
"Actor,Producer,Director",no awards no nominations,"A Star Is Born,Silver Linings Playbook,American Sniper,American Hustle",1.85 m,"January 5, 1975","Philadelphia, Pennsylvania, USA"
"Actress,Producer,Director",no awards no nominations,"Lost in Translation,Her,The Avengers,Under the Skin",1.60 m,"November 22, 1984","Manhattan, New York City, New York, USA"
"Actress,Producer,Make-Up Department",no awards no nominations,"Black Swan,Jupiter Ascending,Bad Moms,Forgetting Sarah Marshall",1.63 m,"August 14, 1983","Chernovtsy, Ukrainian SSR, USSR [now Chernivtsi, Ukraine]"
"Actress,Director,Producer",no awards no nominations,"The Perks of Being a Wallflower,Harry Potter and the Philosopher's Stone,The Bling Ring,Beauty and the Beast",1.65 m,"April 15, 1990","Paris, France"
"Actress,Producer",no awards no nominations,"Smile,Mare of Easttown,Loverboy,13 Reasons Why",,,
"Actress,Writer,Director",no awards no nominations,"Mandy,Me Before You,Alan Partridge: Alpha Papa,Death to 2020",1.70 m,"October 5, 1975","Bolton, Greater Manchester, England, UK"
"Actor,Producer,Director",no awards no nominations,"The Postman,Dances with Wolves,Robin Hood: Prince of Thieves,The Bodyguard",1.85 m,"January 18, 1955","Lynwood, California, USA"
"Actress,Writer,Producer",no awards no nominations,"Shrinking,Love Life,2 Dope Queens,Booksmart",3 m,"July 31, 1989","California, USA"
"Actor,Producer,Stunts",no awards no nominations,"Crank,Fast & Furious 7,Spy,The Meg",(1.78 m,"July 26, 1967","Shirebrook, Derbyshire, England, UK"
"Actress,Producer,Writer",no awards no nominations,"Carol,Blue Jasmine,The Aviator,Elizabeth",(1.74 m,"May 14, 1969","Melbourne, Victoria, Australia"
"Actress,Director,Producer",no awards no nominations,"Warrior Nun,Mrs.Harris Goes to Paris,Patrick,L'enfant",(1.59 m,"July 10, 1997","Lisbon, Portugal"
"Producer,Actor,Writer",no awards no nominations,"Good Will Hunting,The Martian,The Departed,The Talented Mr. Ripley",(1.78 m,"October 8, 1970","Boston, Massachusetts, USA"
"Actress,Producer,Writer",no awards no nominations,"Tactical Girl,Bonds of Brotherhood,Chuck: Meet the Nerd Herders,Chuck",1.55 m,"February 14, 1983","Southern California, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Kick-Ass,Let Me In,Carrie,If I Stay",1.63 m,"February 10, 1997","Atlanta, Georgia, USA"
"Actress,Producer,Writer",no awards no nominations,"Transformers,Teenage Mutant Ninja Turtles,Jennifer's Body,Teenage Mutant Ninja Turtles: Out of the Shadows",1.63 m,"May 16, 1986","Oak Ridge, Tennessee, USA"
"Actress,Director,Writer",no awards no nominations,"Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix",1.68 m,"February 17, 1991","London, England, UK"
Actress,no awards no nominations,"Top Gun: Maverick,The Good Cop,Splitting Up Together,UnREAL",1.70 m,"June 17, 1989","San Francisco, California, USA"
Actor,no awards no nominations,"The Killing of a Sacred Deer,The Banshees of Inisherin,The Green Knight,Dunkirk",1.70 m,"October 18, 1992","Dublin, Ireland"
"Actress,Producer,Soundtrack",no awards no nominations,"West Side Story,West Side Story,Anna and the King of Siam,Oz",(1.59 m,"December 11, 1931","Humacao, Puerto Rico"
"Producer,Actor,Writer",no awards no nominations,"The Fresh Prince of Bel-Air,Men in Black,I Am Legend,Independence Day",(1.87 m,"September 25, 1968","Philadelphia, Pennsylvania, USA"
"Actress,Director,Writer",no awards no nominations,"Chuck,The Judge,Everwood,The Stray",(1.74 m,"February 12, 1980","Overland Park, Kansas, USA"
"Actress,Soundtrack",no awards no nominations,"Atonement,Mr. Nobody,Killer Joe,Horns",1.57 m,"July 21, 1989","London, England, UK"
"Actor,Producer,Director",no awards no nominations,"Dallas Buyers Club,Magic Mike,Killer Joe,Mud", (1.82 m,"November 4, 1969","Uvalde, Texas, USA"
"Actress,Producer,Director",no awards no nominations,"Mad Max: Fury Road,American Honey,It Comes at Night,Logan Lucky",1.70 m,"May 29, 1989","Santa Monica, California, USA"
"Actress,Producer,Additional Crew",no awards no nominations,"Edge of Tomorrow,The Devil Wears Prada,The Adjustment Bureau,Salmon Fishing in the Yemen",1.70 m,"February 23, 1983","Roehampton, London, England, UK"
"Actress,Producer,Director",no awards no nominations,"Barb Wire,Scary Movie 3,Superhero Movie,Blonde and Blonder",1.65 m,"July 1, 1967","Ladysmith, British Columbia, Canada"
"Actress,Producer,Director",no awards no nominations,"Booksmart,Unbelievable,Short Term 12,Justified",1.60 m,"December 21, 1996","Phoenix, Arizona, USA"
