prof,awards,famous,height,dob,birthplace
Actress,no awards no nominations,"Broadchurch,Land of the Lost,The Commons,Cowboy Bebop",1.68 m,"April 14, 1976","Perth, Australia"
"Actor,Soundtrack",no awards no nominations,"The Amazing Spider-Man 2,Æon Flux,The Equalizer,xXx",(1.86 m,"June 30, 1966","Invercargill, New Zealand"
"Actor,Director,Producer",no awards no nominations,"Man of Steel,The West Wing,The Lost World: Jurassic Park,Se7en",(1.78 m,"May 27, 1955","Bethesda, Maryland, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Charade,North by Northwest,Suspicion,Notorious",(1.87 m,"January 18, 1904","Horfield, Bristol, England, UK"
"Actor,Director,Producer",no awards no nominations,"Liberal Arts,Happythankyoumoreplease,How I Met Your Mother,Not Another Teen Movie", (1.81 m,"July 29, 1974","Columbus, Ohio, USA"
Actress,no awards no nominations,"Angus, Thongs and Perfect Snogging,The Holding,Lewis,The Cottage",1.63 m,"February 11, 1992","Nottingham, England, UK"
"Actor,Producer,Director",no awards no nominations,"Short Circuit,Hackers,Short Circuit 2,Super Mario Bros.",1.70 m,"November 27, 1963","Chicago, Illinois, USA"
"Actor,Producer",no awards no nominations,"Remember the Titans,Ant-Man,Dredd,Southland Tales",1.88 m,"October 17, 1969","Chicago, Illinois, USA"
"Actor,Soundtrack",no awards no nominations,"1984,Alien,The Elephant Man,Tinker Tailor Soldier Spy",1.75 m,"January 22, 1940","Chesterfield, Derbyshire, England, UK"
"Actor,Writer",no awards no nominations,"Kingdom,Friday Night Lights,Parenthood,Shaft",(1.80 m,"August 15, 1982","Washington, District of Columbia, USA"
"Actor,Director,Writer",no awards no nominations,"Into the Wild,Lincoln,All the President's Men,Creepshow",3 m,"February 17, 1925","Cleveland, Ohio, USA"
"Actress,Writer,Director",no awards no nominations,"In a World...,One Mississippi,Twin Peaks,All Nighter",1.70 m,"September 19, 1985","Claremont, California, USA"
"Actress,Soundtrack",no awards no nominations,"The Abyss,Robin Hood: Prince of Thieves,The Perfect Storm,Limbo",(1.66 m,"November 17, 1958","Lombard, Illinois, USA"
"Actress,Producer,Director",no awards no nominations,"Wall Street,Kill Bill: Vol. 2,Splash,Blade Runner",(1.78 m,"December 3, 1960","Chicago, Illinois, USA"
"Actress,Producer,Writer",no awards no nominations,"Bridesmaids,The Goldbergs,Blended,Reno 911!",(1.74 m,"October 10, 1969","Bellflower, California, USA"
"Actor,Composer,Producer",no awards no nominations,"Hereditary,Pig,Old,Patriots Day",3 m,"November 1, 1997","New York City, New York, USA"
"Actress,Art Department,Additional Crew",no awards no nominations,"The English Patient,Clouds of Sils Maria,Ghost in the Shell,Trois Couleurs: Bleu",(1.67 m,"March 9, 1964","Paris, France"
"Actor,Producer,Director",no awards no nominations,"This Is Us,Smallville,Revenge,A Bad Moms Christmas",(1.89 m,"January 29, 1977","Galesburg, Illinois, USA"
"Actress,Soundtrack",no awards no nominations,"Ex Machina,La La Land,Maniac,Annihilation",1.70 m,"July 1, 1986","Tokyo, Japan"
"Actress,Producer",no awards no nominations,"You're the Worst,The Wolf of Wall Street,Begin Again,The Boys",1.57 m,"July 13, 1982","San Francisco, California, USA"
"Actor,Producer,Director",no awards no nominations,"The Departed,Badlands,Apocalypse Now,The Way",1.68 m,"August 3, 1940","Dayton, Ohio, USA"
Actress,no awards no nominations,"Battlestar Galactica,Hawaii Five-0,Battlestar Galactica,Juliet Must Live",(1.76 m,"March 14, 1974","Los Angeles, California, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"Sexy Beast,Gandhi,Iron Man Three,Schindler's List",(1.72 m,"December 31, 1943","Scarborough, Yorkshire, England, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"Dharma & Greg,Keeping the Faith,Friends with Benefits,Edtv",(1.78 m,"September 30, 1971","Los Angeles, California, USA"
"Writer,Actress,Producer",no awards no nominations,"Date Night,30 Rock,Mean Girls,Sisters",(1.64 m,"May 18, 1970","Upper Darby, Pennsylvania, USA"
"Actor,Soundtrack",no awards no nominations,"The Lodge,Descendants 3,High Fidelity,The Invitation",3 m,"April 21, 1995","Edinburgh, Scotland, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"Chicago,Mamma Mia!,Into the Woods,Mamma Mia! Here We Go Again",(1.77 m,"May 2, 1952","Buffalo, New York, USA"
"Additional Crew,Writer,Producer",no awards no nominations,"Men in Black,Fun Mom Dinner,Niagara, Niagara,Mr. Jealousy",(1.77 m,"May 2, 1952","Buffalo, New York, USA"
"Actor,Soundtrack",no awards no nominations,"Twilight,Never Back Down,Priest,Burlesque", (1.82 m,"August 16, 1982","Tacoma, Washington, USA"
"Actress,Producer,Director",no awards no nominations,"Practical Magic,When a Stranger Calls,Push,10,000 BC",1.73 m,"October 2, 1986","Los Angeles, California, USA"
"Actress,Producer,Writer",no awards no nominations,"The Mighty Ducks,Wet Hot American Summer,Queen of the Damned,D3: The Mighty Ducks",1.60 m,"April 25, 1977","Riverside, California, USA"
"Actor,Music Department,Writer",no awards no nominations,"Brittany Runs a Marathon,Blindspotting,Free Guy,The 92nd Annual Academy Awards",1.75 m,"December 8, 1983","Baltimore, Maryland, USA"
"Actress,Producer,Writer",no awards no nominations,"Pee-wee's Big Adventure,The Powerpuff Girls,Happy Feet,Babe: Pig in the City",2 m,"September 11, 1961","Los Angeles, California, USA"
"Actress,Soundtrack",no awards no nominations,"Fletch,Tombstone,The Night We Never Met,Mrs. Soffel",1.75 m,"October 9, 1960","New York City, New York, USA"
"Actor,Director,Writer",no awards no nominations,"Deadpool,Alita: Battle Angel,If Beale Street Could Talk,Ill Manors",1.85 m,"March 29, 1983","Camden, London, England, UK"
"Actress,Director,Writer",no awards no nominations,"Flowers,Loki,Yesterday,Into the Badlands",1.70 m,November 15,"Nottingham, Nottinghamshire, England, UK"
"Actor,Writer,Director",no awards no nominations,"Yes Man,Flight of the Conchords,What We Do in the Shadows,Radio Rock", (1.79 m,"March 21, 1974",New Zealand
"Actress,Soundtrack,Producer",no awards no nominations,"Footloose,Short Cuts,Mea Maxima Culpa: Silence in the House of God", (1.79 m,"November 6, 1957","Corpus Christi, Texas, USA"
"Actor,Producer,Writer",no awards no nominations,"The Office,Inglourious Basterds,Vengeance,Saving Mr. Banks",(1.74 m,"July 31, 1979","Newton, Massachusetts, USA"
"Actor,Producer,Stunts",no awards no nominations,"Blade,New Jack City,Demolition Man,White Men Can't Jump",1.75 m,"July 31, 1962","Orlando, Florida, USA"
"Actress,Producer,Director",no awards no nominations,"Rogue,The Vow,Falling Skies,The Flash",1.68 m,"October 30, 1980","Toronto, Ontario, Canada"
"Actress,Camera and Electrical Department,Producer",no awards no nominations,"Gary Unmarried,Cupid,Californication,Hidden Hills",(1.71 m,"June 12, 1964","Rockville, Maryland, USA"
"Actor,Director,Writer",no awards no nominations,"Argo,Little Miss Sunshine,Glengarry Glen Ross,Edward Scissorhands",1.75 m,"March 26, 1934","Brooklyn, New York City, New York, USA"
"Actress,Writer,Additional Crew",no awards no nominations,"Schitt's Creek,Twitches,Comedy Inc.,Sassy Pants",1.75 m,"November 24, 1971","Vancouver, British Columbia, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"The Resistance,Polar,Army of Thieves,Womb",(1.68 m,"February 7, 1996","San Jose, Costa Rica"
"Actor,Producer,Writer",no awards no nominations,"The Dreamers,Funny Games,Seven Psychopaths,I Origins", (1.79 m,"April 10, 1981","West Orange, New Jersey, USA"
"Actress,Director",no awards no nominations,"Into the Storm,Friend Request,Fear the Walking Dead,Where the Devil Hides",1.70 m,"July 20, 1993","Sydney, New South Wales, Australia"
"Actress,Producer,Director",no awards no nominations,"Father of the Bride,According to Jim,Shade,We Are Marshall",1.65 m,"September 14, 1971","Rye, New York, USA"
"Actress,Producer,Director",no awards no nominations,"The Wedding Veil,The O.C.,Entourage,Sully",1.63 m,"September 21, 1980","La Jolla, California, USA"
"Actor,Producer",no awards no nominations,"Shameless,The Unborn,Conviction,Law & Order: Special Victims Unit",1.65 m,"August 19, 1999","St. Charles, Illinois, USA"
"Director,Actor,Writer",no awards no nominations,"Chinatown,Le locataire,The Ghost Writer,Carnage",1.60 m,"August 18, 1933","Paris, France"
"Actor,Writer,Producer",no awards no nominations,"Fish Called Wanda,Monty Python and the Holy Grail,Monty Python's Flying Circus,Fawlty Towers",1.96 m,"October 27, 1939","Weston-Super-Mare, Somerset, England, UK"
"Actress,Soundtrack",no awards no nominations,"A Streetcar Named Desire,Planet of the Apes,Escape from the Planet of the Apes,Beneath the Planet of the Apes",(1.61 m,"November 12, 1922","Detroit, Michigan, USA"
"Actor,Writer,Producer",no awards no nominations,"Bridesmaids,Frequently Asked Questions About Time Travel,The Sapphires,Moone Boy",1.91 m,"October 9, 1979","Boyle, County Roscommon, Ireland"
Actress,no awards no nominations,"If I Stay,Trust,The Best of Me,Stuck in Love.",1.70 m,"August 20, 1995","Galveston, Texas, USA"
"Actress,Producer",no awards no nominations,"Madea's Family Reunion,Eve's Bayou,Jaws: The Revenge,The Josephine Baker Story",1.65 m,"February 15, 1953","Baton Rouge, Louisiana, USA"
"Actor,Producer",no awards no nominations,"Halloween,The Sword and the Sorcerer,Deathsport,Merlin",(1.78 m,"February 12, 1940","Brooklyn, New York City, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"The Deuce,Gigi Does It,Slums of Beverly Hills,The Ballad of Buster Scruggs",1.70 m,"May 15, 1978","Queens, New York City, New York, USA"
"Actor,Producer",no awards no nominations,"Aquaman,Dahmer - Monster: The Jeffrey Dahmer Story,Soul Food,Mayor of Kingstown",1.70 m,"October 30, 1963","Roxbury, Massachusetts, USA"
"Actor,Director,Soundtrack",no awards no nominations,"Hellraiser,Star Trek: Deep Space Nine,Dirty Harry,Child's Play 3", (1.79 m,"February 14, 1942","New York City, New York, USA"
"Actress,Soundtrack",no awards no nominations,"Austin Powers: The Spy Who Shagged Me,Music and Lyrics,3rd Rock from the Sun,The Flintstones in Viva Rock Vegas",3 m,"September 20, 1967","Washington, District of Columbia, USA"
"Actress,Soundtrack",no awards no nominations,"Marriage Story,Freddy Got Fingered,Flying High,Airplane II: The Sequel",,,
"Actress,Producer,Soundtrack",no awards no nominations,"Victoria,Only You,Life Itself,Foodie Love",1.65 m,"February 18, 1985","Barcelona, Barcelona, Catalonia, Spain"
"Actress,Director",no awards no nominations,"One Tree Hill,Twin Peaks: Fire Walk with Me,The Lion King,The Cutting Edge",1.63 m,"March 6, 1968","Queens, New York City, New York, USA"
"Actress,Additional Crew,Director",no awards no nominations,"The Trial of the Chicago 7,It's Complicated,Station Eleven,Masters of Sex",(1.78 m,"August 25, 1983","Camden, Maine, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"The Lord of the Rings: The Return of the King,V for Vendetta,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Two Towers",1.88 m,"April 4, 1960","Ibadan, Nigeria"
"Actress,Music Department,Writer",no awards no nominations,"Batman: Arkham City,Transformers: Revenge of the Fallen,When Marnie Was There,The Book of Life",1.60 m,"August 24, 1973","Fort Ord, California, USA"
"Producer,Writer,Actor",no awards no nominations,"Schitt's Creek,Happiest Season,Good Grief,Untitled Dan Levy Film",(1.80 m,"August 9, 1983","Toronto, Ontario, Canada"
"Actor,Producer,Director",no awards no nominations,"The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,300,Van Helsing",(1.78 m,"September 21, 1965","Marrickville, Sydney, New South Wales, Australia"
"Actor,Producer,Writer",no awards no nominations,"Paul Blart: Mall Cop,Swamp Mama,The King of Queens,Here Comes the Boom",1.73 m,"April 26, 1965","Stony Brook, New York, USA"
