prof,awards,famous,height,dob,birthplace
"Actress,Producer,Director",no awards no nominations,"Curb Your Enthusiasm,Recreational Vehicle,Waitress,The Ugly Truth",1.65 m,"September 21, 1965","Miami Beach, Florida, USA"
"Actor,Producer,Director",no awards no nominations,"Shadowhunters: The Mortal Instruments,The Last Hunt,Cabin Fever,Delivery Man",1.91 m,"October 1, 1987","New York City, New York, USA"
"Actor,Soundtrack",no awards no nominations,"Alien,Lucky,The Green Mile,Repo Man",1.73 m,"July 14, 1926","West Irvine, Kentucky, USA"
"Actress,Additional Crew,Writer",no awards no nominations,"Parks and Recreation,Brooklyn Nine-Nine,Sing 2,Chelsea Peretti: One of the Greats",1.68 m,"February 20, 1978","Contra Costa, California, USA"
"Actress,Soundtrack",no awards no nominations,"Gilmore Girls,Dragonfly,Stir of Echoes,Little Fish, Strange Pond",1.63 m,"June 5, 1977","Passaic, New Jersey, USA"
"Writer,Producer,Actor",no awards no nominations,"Maximum Overdrive,Creepshow,The Shawshank Redemption,Kingdom Hospital",1.93 m,"September 21, 1947","Portland, Maine, USA"
"Actor,Producer,Director",no awards no nominations,"Furious 6,The Fast and the Furious: Tokyo Drift,Bullet to the Head,Fast Five",3 m,"April 8, 1972","Gainesville, Georgia, USA"
"Actor,Director,Writer",no awards no nominations,"The Originals,Brave New World,Halo,Titans",(1.80 m,May 16,"Lambeth, London, England, UK"
Actor,no awards no nominations,"Game of Thrones,Batman Begins,A Shine of Rainbows,Shrooms",1.70 m,"May 20, 1992","Cork, Ireland"
Actress,no awards no nominations,"Ginny & Georgia,Designated Survivor,Holly Hobbie",1.63 m,"May 8, 2000","Toronto, Ontario, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"Paper Moon,The Bad News Bears,The Runaways,Little Darlings",1.70 m,"November 5, 1963","Los Angeles, California, USA"
"Actress,Writer,Director",no awards no nominations,"Say Anything...,Fever Pitch,River's Edge,Wayne's World",1.68 m,"September 4, 1970","Hampstead, London, England, UK"
"Actor,Producer",no awards no nominations,"United 93,Philomena,Edge of Darkness,Our Idiot Brother",1.96 m,"August 15, 1967","New York City, New York, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"Lost,Wyatt Earp,The Lawnmower Man,Alita: Battle Angel",3 m,"November 29, 1952","Olean, New York, USA"
"Actor,Soundtrack",no awards no nominations,"Buffy the Vampire Slayer,Repo! The Genetic Opera,Imagine Me & You,Persuasion",1.86 m,"February 20, 1954","Camden, London, England, UK"
"Actor,Soundtrack",no awards no nominations,"Dead Poets Society,House M.D.,Much Ado About Nothing,The Age of Innocence",3 m,"February 28, 1969","Westwood, New Jersey, USA"
"Actress,Soundtrack",no awards no nominations,"Automata,Kraftidioten,Marie Krøyer,Pitch Perfect 2",(1.72 m,"January 16, 1982","Hillerød, Denmark"
"Actor,Producer,Writer",no awards no nominations,"The Waterboy,Night Shift,Click,Arrested Development",1.68 m,"October 30, 1945","New York City, New York, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"The Producers,The Birdcage,The Lion King,Mousehunt",1.65 m,"February 3, 1956","Jersey City, New Jersey, USA"
"Actor,Music Department",no awards no nominations,"The Other Woman,The Forest,Zero Dark Thirty,Chicago Fire",(1.80 m,"July 15, 1981","Lancaster, Pennsylvania, USA"
"Actor,Soundtrack,Director",no awards no nominations,"Thor,Zootopia,Manifest,Once Upon a Time",1.85 m,"December 18, 1978","Louisville, Kentucky, USA"
Actor,no awards no nominations,"Slaughterhouse Rulez,Fast & Furious 9,Peaky Blinders,Animal Kingdom",(1.72 m,"November 9, 1995","Kingston, London, England, UK"
"Actor,Cinematographer,Editor",no awards no nominations,"Dog Day Afternoon,The Godfather,The Conversation,The Godfather: Part II", (1.79 m,"August 12, 1935","Boston, Massachusetts, USA"
"Actress,Soundtrack",no awards no nominations,"Hercules,Spirited Away,Steven Universe,Man of the Century",1.63 m,"February 18, 1970","Long Beach, California, USA"
Actor,no awards no nominations,"Animal Control,This Week at the Comedy Cellar,Comedy Central Stand-Up Featuring,The Tonight Show Starring Jimmy Fallon",1.63 m,"February 18, 1970","Long Beach, California, USA"
"Director,Producer,Actor",no awards no nominations,"127 Hours,28 Days Later...,Slumdog Millionaire,Shallow Grave", (1.82 m,"October 20, 1956","Radcliffe, Greater Manchester, England, UK"
"Actor,Producer,Director",no awards no nominations,"Murdoch Mysteries,Anything for Jackson,Year by the Sea,Casino Jack",1.75 m,"May 16, 1969","Montréal, Québec, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"Eight Legged Freaks,Anaconda,Thinner,Do It for Uncle Manny",1.65 m,"April 28, 1967","Brookfield, Connecticut, USA"
"Actor,Producer,Director",no awards no nominations,"Lock, Stock and Two Smoking Barrels,Doom,The Three Musketeers,Kick-Ass",1.68 m,"January 31, 1966","London, England, UK"
"Writer,Director,Producer",no awards no nominations,"The Neon Demon,Only God Forgives,Valhalla Rising,Drive",(1.89 m,"September 29, 1970","Copenhagen, Denmark"
"Actor,Director,Soundtrack",no awards no nominations,"Robin Hood,Nixon,Hahah Price,Coronet Blue",1.75 m,"February 16, 1935","Morley, Yorkshire, England, UK"
"Actor,Producer,Executive",no awards no nominations,"'Saving Private Ryan': Boot Camp,True Grit,The Green Mile,Crawl", (1.81 m,"April 4, 1970","Campbell River, British Columbia, Canada"
Actor,no awards no nominations,"Dexter: New Blood,The Good Lord Bird,The Blacklist,Champaign ILL",1.75 m,"March 15, 1999","Franklin, Tennessee, USA"
Actress,no awards no nominations,"Dix Pour Cent,Deux frères,Neuf mois,3 hommes et un couffin",1.65 m,"April 25, 1963","Boulogne-Billancourt, Hauts-de-Seine, France"
"Actress,Additional Crew",no awards no nominations,"Jett,Peaky Blinders,Line of Duty,Supernova",1.70 m,"December 25, 1991","Rotterdam, Zuid-Holland, Netherlands"
Actress,no awards no nominations,"Yellowstone,Through Black Spruce,Hostiles,The Night Shift",,,
"Actress,Soundtrack",no awards no nominations,"Valley of the Dolls,The Wrecking Crew,Dance of the Vampires,Eye of the Devil",1.68 m,"January 24, 1943","Dallas, Texas, USA"
Actress,no awards no nominations,"Predestination,Ticket to Paradise,Ash vs Evil Dead,Conspiracy 365",1.63 m,"August 21, 1992","Melbourne, Victoria, Australia"
"Music Artist,Actress,Composer",no awards no nominations,"Moana,Men in Black 3,4: Rise of the Silver Surfer,Burlesque",1.65 m,"June 29, 1978","Honolulu, Hawaii, USA"
"Actor,Director,Writer",no awards no nominations,"Leave It to Beaver,The Mole People,Blonde for a Day,Murder Is My Business",3 m,"February 16, 1909","Lawrence, Kansas, USA"
Actor,no awards no nominations,"Mass,The Menu,House of Cards,Four Friends",3 m,"September 11, 1954","Alexandria, Virginia, USA"
"Actor,Camera and Electrical Department,Producer",no awards no nominations,"Drake & Josh,The Wackness,Mean Creek,Red Dawn",3 m,"November 10, 1986","New York City, New York, USA"
"Actress,Additional Crew",no awards no nominations,"Alexander and the Terrible, Horrible, No Good, Very Bad Day,Son of the Mask,Fainaru fantajî sebun adobento chirudoren,Cobra Kai",1.60 m,"May 9, 1996","Pine Bluff, Arkansas, USA"
"Actress,Additional Crew,Writer",no awards no nominations,"Over the Hedge,Batman: The Enemy Within,Scary Movie 4,Avatar",(1.69 m,"April 26, 1962","South Ozone Park, Queens, New York City, New York, USA"
"Actor,Soundtrack",no awards no nominations,"Cinderella,Purple Hearts,Handsome Devil,The Beat Beneath My Feet",3 m,"September 29, 1994","London, England, UK"
"Actor,Music Department,Producer",no awards no nominations,"The Six Million Dollar Man,The Fall Guy,Scrooged,The Big Valley",(1.80 m,"April 23, 1939","Wyandotte, Michigan, USA"
Actress,no awards no nominations,"In the Earth,Ali & Ava,Crisis,Les cowboys",(1.80 m,"April 23, 1939","Wyandotte, Michigan, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"Idiocracy,The Expendables,Cloudy with a Chance of Meatballs 2,Brooklyn Nine-Nine",1.88 m,"July 30, 1968","Flint, Michigan, USA"
"Actress,Producer",no awards no nominations,"The Cabin in the Woods,The Happening,Meet Dave,The Bay",1.70 m,"July 12, 1980","Montclair, New Jersey, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Gilida,The Lady from Shanghai,My Gal Sal,Cover Girl",1.68 m,"October 17, 1918","Brooklyn, New York City, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"Iron Man Three,Sonic the Hedgehog,Band Aid,Dirty Grandpa",(1.78 m,"March 18, 1982","New York City, New York, USA"
"Producer,Writer,Actress",no awards no nominations,"Tiny Furniture,Girls,This Is 40,Once Upon a Time... In Hollywood",1.60 m,"May 13, 1986","New York City, New York, USA"
"Actress,Producer,Executive",no awards no nominations,"The Fighter,Prisoners,Frozen River,Conviction",1.63 m,"September 14, 1960","New York City, New York, USA"
"Actor,Producer",no awards no nominations,"The Mummy,Blood Diamond,The Mummy Returns,G.I. Joe: Retaliation",(1.87 m,"June 16, 1962","Pretoria, South Africa"
"Actress,Director,Writer",no awards no nominations,"Hit and Run,Fauda,We Were the Lucky Ones",(1.87 m,"September 14, 1985","Tel Aviv, Israel"
"Actor,Director,Producer",no awards no nominations,"Men in Black,Freddy Got Fingered,The Larry Sanders Show,The Man Who Fell to Earth",(1.78 m,"February 6, 1931","Temple, Texas, USA"
"Actor,Producer,Director",no awards no nominations,"Shakespeare in Love,Clavius,Elizabeth,The Merchant of Venice",3 m,"May 27, 1970","Salisbury, Wiltshire, England, UK"
"Actress,Producer",no awards no nominations,"2 Fast 2 Furious,DOA: Dead or Alive,Sin City,Mutant Chronicles",1.65 m,"August 10, 1982","New York City, New York, USA"
Actor,no awards no nominations,"Enola Holmes 2,Pistol,Enola Holmes,Paddington 2",3 m,"June 3, 2003","London, United Kingdom"
"Actress,Soundtrack",no awards no nominations,"God Bless America,Twisted,Malignant,Impulse",1.68 m,"January 4, 1995","Wilmington, North Carolina, USA"
Actor,no awards no nominations,"Veronica Mars,Deep Impact,Veronica Mars,Kingudamu hâtsu: Bâsu bai surîpu",(1.80 m,"March 30, 1982","Ohio, USA"
"Actor,Director",no awards no nominations,"Better Call Saul,Minority Report,The Rookie,A Midnight Clear",1.73 m,March 17,"Los Angeles, California, USA"
"Actor,Additional Crew,Stunts",no awards no nominations,"The Mist,Star Wars: The Force Unleashed,Solo: A Star Wars Story,Star Wars: The Clone Wars",1.85 m,"October 20, 1977","Glenview, Illinois, USA"
"Actor,Producer,Director",no awards no nominations,"Reservoir Dogs,Short Cuts,True Romance,Footloose",(1.78 m,"October 10, 1965","Los Angeles, California, USA"
"Actor,Writer,Producer",no awards no nominations,"Moonraker,Happy Gilmore,Tangled,Pale Rider",2.18 m,"September 13, 1939","Detroit, Michigan, USA"
"Actor,Director,Writer",no awards no nominations,Farming,1.88 m,"August 22, 1967","Islington, London, England, UK"
"Actress,Producer,Music Department",no awards no nominations,"Straw Dogs,Dirty Mary Crazy Larry,Mandingo,Enter the Ninja",1.60 m,"July 26, 1950","Surbiton, Surrey, England, UK"
Actress,no awards no nominations,"Surrogates,Iron Man 2,666 Park Avenue,Seven Psychopaths",1.73 m,"March 30, 1984","Stockholm, Sweden"
"Actress,Producer,Director",no awards no nominations,"Donnie Darko,Speed,No Country for Old Men,Little Miss Sunshine",1.65 m,"September 18, 1949","Gadsden, Alabama, USA"
"Director,Producer,Writer",no awards no nominations,"Chariots of Fire,Greystoke: The Legend of Tarzan, Lord of the Apes,The Tortoise and the Hare,I Dreamed of Africa",1.65 m,"August 25, 1936","London, England, UK"
Actress,no awards no nominations,"The Walking Dead,Bosch,Parental Guidance,Tell Me Your Name",1.73 m,"May 11, 1999","Atlanta, Georgia, USA"
"Actress,Producer,Director",no awards no nominations,"Absolutely Fabulous,The Wolf of Wall Street,Corpse Bride,Absolutely Fabulous: The Movie",1.73 m,"May 1, 1946","Srinagar, Jammu and Kashmir, British India [now India]"
"Actor,Producer,Composer",no awards no nominations,"Saw II,Ransom,Dead Silence,The Sixth Sense",(1.78 m,"August 17, 1969","Boston, Massachusetts, USA"
"Actor,Soundtrack",no awards no nominations,"Speed,Twister,Ferris Bueller's Day Off,The Happening", (1.79 m,"July 1, 1956","Cleveland, Ohio, USA"
Actor,no awards no nominations,"AVPR: Aliens vs Predator - Requiem,One Missed Call,Raise Your Voice,Felon", (1.79 m,"October 29, 1983","Los Angeles, California, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"12 Angry Men,On Golden Pond,The Grapes of Wrath,The Wrong Man",(1.87 m,"May 16, 1905","Grand Island, Nebraska, USA"
"Actor,Producer,Writer",no awards no nominations,"The Hateful Eight,Kill Bill: Vol. 1,Species,Reservoir Dogs",(1.84 m,"September 25, 1957","Chicago, Illinois, USA"
"Actor,Producer",no awards no nominations,"Rough Night,San Andreas,Arrow,The Gates",(1.78 m,"July 13, 1988","Wichita, Kansas, USA"
"Actress,Writer,Producer",no awards no nominations,"Licorice Pizza,Masterminds,Free State of Jones,It's Always Sunny in Philadelphia",1.63 m,"May 11, 1979","Laurel, Mississippi, USA"
"Actor,Director,Producer",no awards no nominations,"Grimm,13 Hours,A Million Little Things,Buddymoon",(1.80 m,"June 18, 1980","Milwaukee, Wisconsin, USA"
"Actress,Producer,Additional Crew",no awards no nominations,"Samson and Delilah,The Strange Woman,Her Highness and the Bellboy,Dishonored Lady",1.70 m,"November 9, 1914","Vienna, Austria-Hungary [now Austria]"
"Actress,Producer,Additional Crew",no awards no nominations,"E.T. The Extra-Terrestrial,Cujo,Bhedeye Ki Cheekh,Critters",1.63 m,"December 14, 1948","Kansas City, Kansas, USA"
"Actress,Writer",no awards no nominations,"Catch the Fair One,True Detective,Black Flies,HBO World Championship Boxing",1.63 m,"August 24, 1986","Providence, Rhode Island, USA"
"Actor,Camera and Electrical Department",no awards no nominations,"Calibre,Deadwood,Outlaw King,Ray Donovan", (1.78 m,"December 13, 1969","Glasgow, Scotland, UK"
"Writer,Actress,Producer",no awards no nominations,"Whitney,Made of Honor,The Ridiculous 6,The Wedding Ringer",(1.78 m,"September 4, 1982","Georgetown, Washington, District of Columbia, USA"
"Actress,Producer",no awards no nominations,"The Pianist,Cashback,Dorian Gray,Prendimi L'anima",1.68 m,"July 31, 1974","London, England, UK"
"Actress,Writer,Producer",no awards no nominations,"Kaleidoscope,Ramy,Qabeel,Turab el-Mas",1.68 m,"July 31, 1974","London, England, UK"
Actress,no awards no nominations,"The Nevers,Outlander,The Fall,The 73rd Annual Tony Awards",1.63 m,"August 20, 1982","Belfast, Northern Ireland, UK"
"Actress,Soundtrack",no awards no nominations,"The School for Good and Evil,David Bowie: The Last Five Years,Smash,Last Week Tonight with John Oliver",(1.56 m,"July 11, 2001","Spokane, Washington"
"Actress,Producer,Writer",no awards no nominations,"Promising Young Woman,Orange Is the New Black,Musical Chairs,The Rocky Horror Picture Show: Let's Do the Time Warp Again",(1.80 m,"May 29, 1972","Mobile, Alabama, USA"
"Actress,Director,Writer",no awards no nominations,"Wild at Heart,Joy,Chinatown,Alice Doesn't Live Here Anymore",1.70 m,"November 29, 1935","Meridian, Mississippi, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Imitation of Life,Madame X,Peyton Place,The Postman Always Rings Twice",1.60 m,"February 8, 1921","Wallace, Idaho, USA"
"Actor,Music Department,Soundtrack",no awards no nominations,"21,Across the Universe,Cloud Atlas,Geostorm",(1.84 m,"May 16, 1978","Wandsworth, London, England, UK"
"Actor,Director,Producer",no awards no nominations,"Alien,Contact,Top Gun,Steel Magnolias",(1.80 m,"August 25, 1933","Detroit, Michigan, USA"
"Actor,Soundtrack",no awards no nominations,"Jurassic Park,Rat Race,Dirty Dancing,Space Jam",1.70 m,"August 7, 1955","Cartersville, Georgia, USA"
"Actress,Soundtrack",no awards no nominations,"Diamonds Are Forever,Who's Minding the Store?,The Oscar,The Liquidator",1.68 m,"August 19, 1940","Los Angeles, California, USA"
"Actress,Producer,Writer",no awards no nominations,"Battle Beyond the Stars,Hercules,Halloween,The Three Musketeers",1.70 m,May 24,"Wels, Upper Austria, Austria"
"Actor,Producer,Writer",no awards no nominations,"Frozen,Beauty and the Beast,Pixels,21",1.68 m,"February 23, 1981","Hollywood, Florida, USA"
"Actress,Director,Writer",no awards no nominations,"Heaven Can Wait,Bob & Carol & Ted & Alice,Deathtrap,The Last of Sheila",1.65 m,"January 4, 1937","Tacoma, Washington, USA"
Actor,no awards no nominations,"The Chosen,The Duff,Teen Spirit,Nashville",1.65 m,"January 4, 1937","Tacoma, Washington, USA"
Actress,no awards no nominations,"Raising Helen,Definitely, Maybe,The Nanny Diaries,The Truth About Charlie",1.65 m,"February 14, 1962","Manhattan, New York, USA"
"Actress,Additional Crew,Producer",no awards no nominations,"Arrow,The Flash,Legends of Tomorrow,Law & Order: Special Victims Unit",1.73 m,"October 19, 1990","Harrisburg, Pennsylvania, USA"
Actress,no awards no nominations,"Mom,Why Women Kill,The Package,Secrets of a Marine's Wife",1.57 m,"April 8, 1997","Los Angeles, California, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"The Hangover,National Treasure,Gigli,National Treasure: Book of Secrets",1.73 m,"July 21, 1978","West Bloomfield, Michigan, USA"
"Actor,Soundtrack",no awards no nominations,"The Choice,Abraham Lincoln: Vampire Hunter,In the Heart of the Sea,Flags of Our Fathers",1.88 m,"June 21, 1982","Georgia, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Spiral: From the Book of Saw,Riverdale,Operation Toussaint: Operation Underground Railroad and the Fight to End Modern Day Slavery,24",1.63 m,November 2,"Chicago, Illinois, USA"
Actor,no awards no nominations,"3:10 to Yuma,Dallas Buyers Club,Walk the Line,The Grey", (1.79 m,"May 10, 1970","Houston, Texas, USA"
"Actor,Writer,Producer",no awards no nominations,"Deadwood,There's Something About Mary,Preacher,Black Mass",3 m,"September 7, 1963","Murray, Kentucky, USA"
"Actress,Producer,Writer",no awards no nominations,"Charmed,Picket Fences,Dr. Giggles,Born on the Fourth of July",1.55 m,"December 3, 1973","San Diego, California, USA"
"Actress,Soundtrack",no awards no nominations,"When They See Us,Pitch,Big Sky,Game Night",1.73 m,"January 30, 1989","Hamilton, Ontario, Canada"
"Actress,Producer,Writer",no awards no nominations,"The Tick,CSI: Crime Scene Investigation,Brotherly Love,Riley Parra",1.75 m,"August 9, 1972","Raleigh, North Carolina, USA"
"Actor,Director,Producer",no awards no nominations,"Argo,Shooter,Hercules,Manchester by the Sea",3 m,"September 25, 1963","Tenafly, New Jersey, USA"
"Actress,Director,Producer",no awards no nominations,"Baby Blues,Small Town Saturday Night,A Callout Away,NCIS",1.73 m,"September 4, 1999",USA
"Actress,Producer,Soundtrack",no awards no nominations,"Caroline in the City,Star Trek: The Next Generation,Rudy,Jingle All the Way",1.65 m,"March 6, 1969","Milwaukee, Wisconsin, USA"
Actor,no awards no nominations,"RoboCop 3,Confessions of a Dangerous Mind,Thinner,Safe","ights, New York, US","September 12, 1960","Washington Heights, New York, USA"
,no awards no nominations,"Red Notice,Entertainment Tonight,R U the Girl?",1.73 m,"September 8, 1984","Lynnfield, Massachusetts, USA"
"Actor,Producer,Writer",no awards no nominations,"The Hangover,The Office,Vacation,The Daily Show", (1.82 m,"January 24, 1974","Atlanta, Georgia, USA"
"Actress,Producer",no awards no nominations,"Romy and Michele's High School Reunion,True Blood,50 First Dates,Nocturnal Animals",1.75 m,November 26,"Racine, Wisconsin, USA"
"Actress,Director",no awards no nominations,"The Good Doctor,Home Again,Kevin from Work",1.75 m,"August 9, 1989","Washington, Pennsylvania, USA"
"Actor,Writer,Producer",no awards no nominations,"Workaholics,Game Over, Man!,The Intern,How to Be Single",(1.89 m,"May 29, 1981","Evanston, Illinois, USA"
"Actor,Soundtrack",no awards no nominations,"Let Me In,Slow West,The Road,X-Men: Apocalypse",1.85 m,"June 13, 1996","Adelaide, South Australia, Australia"
"Actor,Soundtrack",no awards no nominations,"Encounter,Hostiles,Black Mass,White Boy Rick",3 m,"February 28, 1972","Syracuse, New York, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"The Lost Boys,License to Drive,Lucas,Crank: High Voltage",1.70 m,"December 23, 1971","Toronto, Ontario, Canada"
Music Department,no awards no nominations,The Warren,1.70 m,"December 23, 1971","Toronto, Ontario, Canada"
"Actor,Producer,Director",no awards no nominations,"Short Circuit,3 Men and a Baby,Police Academy,Police Academy 2: Their First Assignment", (1.79 m,"August 24, 1958","Brooklyn, New York City, New York, USA"
"Actor,Producer,Director",no awards no nominations,"How to Make It in America,Prime,Friends with Benefits,Bride Wars",3 m,"May 24, 1978","Omaha, Nebraska, USA"
"Actor,Writer,Producer",no awards no nominations,"The Theory of Everything,The Iron Lady,Anthropoid,Jane Eyre",3 m,"November 17, 1983","London, England, UK"
"Actress,Soundtrack",no awards no nominations,"Raw,Ripper Street,Breakfast on Pluto,Misfits",1.57 m,"March 26, 1984","Glaslough, County Monaghan, Ireland"
Actress,no awards no nominations,"Black Adam,Voyagers,Deadpoint,Master Gardener",(1.69 m,"February 8, 1997","New York, USA"
"Actress,Soundtrack",no awards no nominations,"Aftersun,The Bagman,EE BAFTA Film Awards",(1.69 m,2010,"Livingston, West Lothian, Scotland, UK"
Actor,no awards no nominations,"Guillermo del Toro's Pinocchio,The Guernsey Literary and Potato Peel Pie Society,Victoria,Steve Reviews",(1.69 m,2010,"Livingston, West Lothian, Scotland, UK"
"Actor,Soundtrack",no awards no nominations,"Indiana Jones and the Last Crusade,Star Wars: Episode V - The Empire Strikes Back,For Your Eyes Only,Troy",1.88 m,"March 27, 1935","Hampstead, London, England, UK"
"Actress,Producer",no awards no nominations,"Murdoch Mysteries,Durham County,Sadie's Last Days on Earth",1.70 m,"October 21, 1978","Perth, Western Australia"
"Actor,Producer,Writer",no awards no nominations,"Saving Private Ryan,Black Hawk Down,The Relic,Red Planet", (1.78 m,"November 29, 1961","Detroit, Michigan, USA"
"Actor,Music Department,Producer",no awards no nominations,"Rushmore,The Darjeeling Limited,Moonrise Kingdom,Saving Mr. Banks",1.68 m,"June 26, 1980","Los Angeles, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Shakespeare in Love,The King's Speech,Quills,Pirates of the Caribbean: The Curse of the Black Pearl", (1.82 m,"July 6, 1951","Toowoomba, Queensland, Australia"
"Producer,Writer,Director",no awards no nominations,"Her,Three Kings,Where the Wild Things Are,Being John Malkovich",1.70 m,"October 22, 1969","Rockville, Maryland, USA"
"Actress,Producer",no awards no nominations,"Day Shift,How to Get Away with Murder,Nosotros los Nobles,Suave patria",1.63 m,"December 11, 1985","Mexico City, Distrito Federal, Mexico"
"Actress,Producer,Writer",no awards no nominations,"The Naked Gun 2½: The Smell of Fear,The Naked Gun: From the Files of Police Squad!,Naked Gun 33 1/3: The Final Insult,The Adventures of Ford Fairlane",1.63 m,"May 24, 1945","Brooklyn, New York City, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"Agent Cody Banks,My Dog Skip,Stay Alive,Big Fat Liar",1.65 m,"December 5, 1985","Wood Ridge, New Jersey, USA"
"Actor,Writer,Producer",no awards no nominations,"The Green Mile,Punisher: War Zone,I Am Sam,The Salton Sea",(1.66 m,"May 26, 1960","Dover, Delaware, USA"
"Writer,Director,Second Unit Director or Assistant Director",no awards no nominations,"Kakushi-toride no san-akunin,Ran,Kagemusha,Shichinin No Samurai", (1.82 m,"March 23, 1910","Tokyo, Japan"
Actress,no awards no nominations,"Hellraiser,Grand Army,Fam,Ghosts",1.65 m,"June 17, 2000","Los Angeles, California, USA"
"Actress,Executive",no awards no nominations,"The Meg,Battle of the Sexes,The Vow,Mortal Kombat",(1.67 m,June 16,"Sydney, New South Wales, Australia"
"Actress,Producer,Soundtrack",no awards no nominations,"The Handmaid's Tale,Hustlers,Cam,Orange Is the New Black",1.60 m,"May 1, 1992","Pitman, New Jersey, USA"
