id_,names,worked_as,famous_movies,height,dob,birthplace,place  ,subcity,city   ,county ,state  ,country
nm0538261,Austin Majors,"Actor,Cinematographer,Editor","Treasure Planet,NYPD Blue,An Accidental Christmas,Superman II: The Richard Donner Cut",1.73,"November 23, 1995","Kern County, California, USA",Not Available,Not Available,Kern County,Not Available,California,USA
nm0046112,Penn Badgley,"Actor,Producer,Director","You,Gossip Girl,Easy A,Margin Call",1.74,"November 1, 1986","Baltimore, Maryland, USA",Not Available,Not Available,Baltimore,Not Available,Maryland,USA
nm3996999,Brandon Sklenar,Actor,"The Offer,Vice,Midway,Westworld",1.88,"November 1, 1986","Baltimore, Maryland, USA",Not Available,Not Available,Baltimore,Not Available,Maryland,USA
nm1968873,Ed Speleers,"Actor,Producer,Executive","Downton Abbey,Outlander,Wolf Hall,Alice Through the Looking Glass",1.78,"April 7, 1988","Chichester, England, UK",Not Available,Not Available,Chichester,Not Available,England,UK
nm0930898,Jesse Williams,"Actor,Producer,Director","The Cabin in the Woods,Grey's Anatomy,The Sisterhood of the Traveling Pants 2,Brooklyn's Finest",1.84,"August 5, 1981","Chicago, Illinois, USA",Not Available,Not Available,Chicago,Not Available,Illinois,USA
nm0588096,Christa Miller,"Actress,Music Department,Soundtrack","Scrubs,The Drew Carey Show,Cougar Town,The Andromeda Strain",1.74,"May 28, 1964","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm4045841,Lamar Johnson,"Actor,Director","The Hate U Give,The Last of Us,Your Honor,Brother",1.73,"July 18, 1994","Toronto, Canada",Not Available,Not Available,Not available,Not Available,Toronto,Canada
nm0424534,Ashley Johnson,"Actress,Producer,Soundtrack","The Avengers,Blindspot,The Last of Us,Fast Food Nation",1.65,"August 9, 1983","Camarillo, California, USA",Not Available,Not Available,Camarillo,Not Available,California,USA
nm0058864,Murray Bartlett,"Actor,Producer,Soundtrack","The White Lotus,August,Noor,Farscape",1.65,"March 20, 1971","Sydney, New South Wales, Australia",Not Available,Not Available,Sydney,Not Available,New South Wales,Australia
nm0002907,Alexander Skarsgård,"Actor,Producer,Director","The Legend of Tarzan,Big Little Lies,True Blood,The Little Drummer Girl",1.94,"August 25, 1976","Stockholm, Stockholms län, Sweden",Not Available,Not Available,Stockholm,Not Available,Stockholms län,Sweden
nm4965072,Lukas Gage,"Actor,Writer,Soundtrack","Euphoria,The White Lotus,American Vandal,Assassination Nation",1.78,"May 28, 1995","San Diego, California, USA",Not Available,Not Available,San Diego,Not Available,California,USA
nm0000474,Michael Keaton,"Actor,Additional Crew,Producer","Birdman or (The Unexpected Virtue of Ignorance),Spotlight,The Founder,Batman",1.75,"September 5, 1951","Coraopolis, Pennsylvania, USA",Not Available,Not Available,Coraopolis,Not Available,Pennsylvania,USA
nm0000129,Tom Cruise,"Actor,Producer,Director","Top Gun,The Last Samurai,Jerry Maguire,Mission: Impossible II",1.7,"July 3, 1962","Syracuse, New York, USA",Not Available,Not Available,Syracuse,Not Available,New York,USA
nm0000207,Christina Ricci,"Actress,Producer,Soundtrack","Casper,Buffalo '66,Black Snake Moan,Speed Racer",1.55,"February 12, 1980","Santa Monica, California, USA",Not Available,Not Available,Santa Monica,Not Available,California,USA
nm3053338,Margot Robbie,"Actress,Producer,Executive","Suicide Squad,The Wolf of Wall Street,I, Tonya,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn",1.68,"July 2, 1990","Dalby, Queensland, Australia",Not Available,Not Available,Dalby,Not Available,Queensland,Australia
nm6442992,Victoria Pedretti,Actress,"Once Upon a Time... In Hollywood,The Haunting of Bly Manor,You,The Haunting of Hill House",1.6,"March 23, 1995","Philadelphia, Pennsylvania, USA",Not Available,Not Available,Philadelphia,Not Available,Pennsylvania,USA
nm7006860,Matilda De Angelis,"Actress,Additional Crew","Rose Island,Veloce Come Il Vento,Atlas,Rumori",1.66,"September 11, 1995","Bologna, Emilia-Romagna, Italy",Not Available,Not Available,Bologna,Not Available,Emilia-Romagna,Italy
nm0000148,Harrison Ford,"Actor,Writer,Producer","Raiders of the Lost Ark,The Fugitive,Witness,Star Wars",1.85,"July 13, 1942","Chicago, Illinois, USA",Not Available,Not Available,Chicago,Not Available,Illinois,USA
nm5353321,Cara Delevingne,"Actress,Producer,Writer","Suicide Squad,Paper Towns,Valerian and the City of a Thousand Planets,Anna Karenina",1.73,"August 12, 1992","London, England, UK",Not Available,Not Available,London,Not Available,England,UK
nm5634768,Elizabeth Lail,Actress,"Countdown,You,Once Upon a Time,Unintended",1.73,"March 25, 1992","Williamson County, Texas, USA",Not Available,Not Available,Williamson County,Not Available,Texas,USA
nm3009232,Ezra Miller,"Actor,Producer,Director","The Perks of Being a Wallflower,We Need to Talk About Kevin,Justice League,Suicide Squad",1.8,"September 30, 1992","Hoboken, New Jersey, USA",Not Available,Not Available,Hoboken,Not Available,New Jersey,USA
nm5896355,Anya Taylor-Joy,"Actress,Soundtrack","The Queen's Gambit,The VVitch: A New-England Folktale,The New Mutants,Morgan",1.73,"April 16, 1996","Miami, Florida, USA",Not Available,Not Available,Miami,Not Available,Florida,USA
nm0000409,Brendan Fraser,"Actor,Producer,Art Department","The Mummy,Crash,The Mummy Returns,The Whale",1.91,"December 3, 1968","Indianapolis, Indiana, USA",Not Available,Not Available,Indianapolis,Not Available,Indiana,USA
nm1886602,Miles Teller,"Actor,Producer,Soundtrack","Whiplash,The Spectacular Now,Fantastic Four,Insurgent",1.85,"February 20, 1987","Downingtown, Pennsylvania, USA",Not Available,Not Available,Downingtown,Not Available,Pennsylvania,USA
nm8908475,Isabel May,Actress,"1883,Alexa & Katie,I Want You Back,Young Sheldon",1.75,"November 21, 2000","Santa Monica, California, USA",Not Available,Not Available,Santa Monica,Not Available,California,USA
nm0369513,Cole Hauser,"Actor,Producer","2 Fast 2 Furious,Dazed and Confused,Good Will Hunting,Rogue",1.85,"March 22, 1975","Santa Barbara, California, USA",Not Available,Not Available,Santa Barbara,Not Available,California,USA
nm1754059,Natalie Dormer,"Actress,Producer,Writer","Game of Thrones,The Tudors,The Hunger Games: Mockingjay - Part 2,Penny Dreadful: City of Angels",1.67,"February 11, 1982","Reading, Berkshire, England, UK",Reading,Not Available,Berkshire,Not Available,England,UK
nm0000138,Leonardo DiCaprio,"Producer,Actor,Writer","Inception,Titanic,The Departed,The Aviator",3.0,"November 11, 1974","Hollywood, Los Angeles, California, USA",Hollywood,Not Available,Los Angeles,Not Available,California,USA
nm6073955,Florence Pugh,"Actress,Producer,Soundtrack","The Falling,Marcella,Lady Macbeth,The Commuter",1.62,"January 3, 1996","Oxford, Oxfordshire, England, UK",Oxford,Not Available,Oxfordshire,Not Available,England,UK
nm1093951,Aaron Taylor-Johnson,"Actor,Producer,Writer","Kick-Ass,Nocturnal Animals,Nowhere Boy,Kick-Ass 2",1.8,"June 13, 1990","High Wycombe, Buckinghamshire, England, UK",High Wycombe,Not Available,Buckinghamshire,Not Available,England,UK
nm2274847,Lauren Ash,"Actress,Writer,Producer","Lars and the Real Girl,Superstore,Swamp Mama,The Disaster Artist",1.7,"February 4, 1983","Belleville, Ontario, Canada",Not Available,Not Available,Belleville,Not Available,Ontario,Canada
nm0001872,Steve Zahn,"Actor,Producer,Soundtrack","War for the Planet of the Apes,Joy Ride,Rescue Dawn,Sahara",1.71,"November 13, 1967","Marshall, Minnesota, USA",Not Available,Not Available,Marshall,Not Available,Minnesota,USA
nm0748620,Paul Rudd,"Actor,Producer,Writer","Ant-Man,Ant-Man and the Wasp,I Love You, Man,The Perks of Being a Wallflower",1.78,"April 6, 1969","Passaic, New Jersey, USA",Not Available,Not Available,Passaic,Not Available,New Jersey,USA
nm0000093,Brad Pitt,"Producer,Actor,Executive","Ad Astra,Mr. & Mrs. Smith,Twelve Monkeys,Moneyball",1.8,"December 18, 1963","Shawnee, Oklahoma, USA",Not Available,Not Available,Shawnee,Not Available,Oklahoma,USA
nm2125623,Bridget Regan,"Actress,Producer","Jane the Virgin,Paradise Lost,Devil's Gate,John Wick",1.75,"February 3, 1982","San Diego County, California, USA",Not Available,Not Available,San Diego County,Not Available,California,USA
nm0193520,Tahnee Welch,Actress,"Cocoon,Sleeping Beauty,Cocoon: The Return,I Shot Andy Warhol",1.68,"December 26, 1961","San Diego, California, USA",Not Available,Not Available,San Diego,Not Available,California,USA
nm0000161,Salma Hayek,"Actress,Producer,Director","Frida,Desperado,Savages,Wild Wild West",1.57,"September 2, 1966","Coatzacoalcos, Veracruz, Mexico",Not Available,Not Available,Coatzacoalcos,Not Available,Veracruz,Mexico
nm0000255,Ben Affleck,"Producer,Actor,Writer","Argo,Gone Girl,The Town,Good Will Hunting",1.89,"August 15, 1972","Berkeley, California, USA",Not Available,Not Available,Berkeley,Not Available,California,USA
nm0644406,Nick Offerman,"Actor,Producer,Music Department","Devs,The Great North,Pam and Tommy,A Parks and Recreation Special",1.8,"June 26, 1970","Joliet, Illinois, USA",Not Available,Not Available,Joliet,Not Available,Illinois,USA
nm0006969,Elizabeth Banks,"Actress,Producer,Director","The Hunger Games,The Hunger Games: Mockingjay - Part 1,The Lego Movie,Love & Mercy",1.64,"February 10, 1974","Pittsfield, Massachusetts, USA",Not Available,Not Available,Pittsfield,Not Available,Massachusetts,USA
nm2581521,Austin Butler,"Actor,Soundtrack","Elvis,Once Upon a Time... In Hollywood,The Dead Don't Die,The Carrie Diaries",3.0,"August 17, 1991","Anaheim, California, USA",Not Available,Not Available,Anaheim,Not Available,California,USA
nm0488953,Brie Larson,"Actress,Producer,Director","Room,Captain Marvel,Short Term 12,Avengers: Endgame",1.7,"October 1, 1989","Sacramento, California, USA",Not Available,Not Available,Sacramento,Not Available,California,USA
nm0005026,Kelly Hu,"Actress,Soundtrack","The Scorpion King,The Tournament,Friday the 13th Part VIII: Jason Takes Manhattan,Teenage Mutant Ninja Turtles",1.64,"February 13, 1968","Honolulu, Hawaii, USA",Not Available,Not Available,Honolulu,Not Available,Hawaii,USA
nm1869101,Ana de Armas,"Actress,Producer","Blade Runner 2049,Knives Out,Blonde,No Time to Die",1.68,"April 30, 1988","Havana, Cuba",Not Available,Not Available,Not available,Not Available,Havana,Cuba
nm0000612,Denise Richards,"Actress,Producer,Soundtrack","The World Is Not Enough,Starship Troopers,Wild Things,Love Actually",1.68,"February 17, 1971","Downers Grove, Illinois, USA",Not Available,Not Available,Downers Grove,Not Available,Illinois,USA
nm0647634,Elizabeth Olsen,"Actress,Producer,Soundtrack","Martha Marcy May Marlene,Wind River,Avengers: Infinity War,Avengers: Age of Ultron",1.68,"February 16, 1989","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm0000289,Ellen Barkin,"Actress,Producer","The Fan,Drop Dead Gorgeous,Buckaroo,This Boy's Life",1.68,"April 16, 1954","The Bronx, New York City, New York, USA",The Bronx,Not Available,New York City,Not Available,New York,USA
nm0001771,Stella Stevens,"Actress,Director,Producer","The Poseidon Adventure,The Silencers,The Nutty Professor,Say One for Me",1.65,"October 1, 1938","Yazoo City, Mississippi, USA",Not Available,Not Available,Yazoo City,Not Available,Mississippi,USA
nm0717709,Kelly Reilly,"Actress,Producer","Pride & Prejudice,Eden Lake,Flight,Sherlock Holmes",1.68,"July 18, 1977","Surrey, England, UK",Not Available,Not Available,Surrey,Not Available,England,UK
nm1428821,Joey King,"Actress,Producer,Soundtrack","The Act,Bullet Train,The Kissing Booth,The Conjuring",1.63,"July 30, 1999","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm0425005,Dwayne Johnson,"Actor,Producer,Writer","Black Adam,Jumanji: Welcome to the Jungle,Journey 2: The Mysterious Island,Moana",1.96,"May 2, 1972","Hayward, California, USA",Not Available,Not Available,Hayward,Not Available,California,USA
nm3218692,Madelyn Cline,"Actress,Soundtrack","Boy Erased,Outer Banks,Stranger Things",1.68,"December 21, 1997","Charleston, South Carolina, USA",Not Available,Not Available,Charleston,Not Available,South Carolina,USA
nm6884042,Katy M. O'Brian,"Actress,Stunts","Ant-Man and the Wasp: Quantumania,The Mandalorian,Z Nation,Love Lies Bleeding",1.7,"December 21, 1997","Charleston, South Carolina, USA",Not Available,Not Available,Charleston,Not Available,South Carolina,USA
nm2201555,Aubrey Plaza,"Actress,Producer,Writer","Safety Not Guaranteed,Emily the Criminal,Ingrid Goes West,Dirty Grandpa",1.68,"June 26, 1984","Wilmington, Delaware, USA",Not Available,Not Available,Wilmington,Not Available,Delaware,USA
nm0002546,Mena Suvari,"Actress,Producer,Soundtrack","American Beauty,American Pie,Loser,Rumor Has It...",1.63,"February 13, 1979","Newport, Rhode Island, USA",Not Available,Not Available,Newport,Not Available,Rhode Island,USA
nm1475594,Channing Tatum,"Actor,Producer,Director","21 Jump Street,White House Down,22 Jump Street,Foxcatcher",1.84,"April 26, 1980","Cullman, Alabama, USA",Not Available,Not Available,Cullman,Not Available,Alabama,USA
nm5589690,Madison Iseman,Actress,"Jumanji: Welcome to the Jungle,Annabelle Comes Home,Jumanji: The Next Level,Clouds",1.57,"February 14, 1997","Myrtle Beach, South Carolina, USA",Not Available,Not Available,Myrtle Beach,Not Available,South Carolina,USA
nm0449299,Tig Notaro,"Actress,Writer,Producer","One Mississippi,Army of the Dead,Tig Notaro: Drawn,Instant Family",1.65,"March 24, 1971","Jackson, Mississippi, USA",Not Available,Not Available,Jackson,Not Available,Mississippi,USA
nm0000098,Jennifer Aniston,"Actress,Producer,Director","Friends,Cake,We're the Millers,Just Go with It",1.64,"February 11, 1969","Sherman Oaks, California, USA",Not Available,Not Available,Sherman Oaks,Not Available,California,USA
nm1662644,Antje Traue,Actress,"Man of Steel,Pandorum,Woman in Gold,Criminal",1.7,"January 18, 1981","Mittweida, East Germany [now Saxony, Germany]",Not Available,Not Available,Mittweida,Not Available,East Germany [now Saxony,Germany]
nm0177639,Jennifer Coolidge,"Actress,Writer,Soundtrack","A Mighty Wind,A Cinderella Story,American Pie,Epic Movie",1.78,"August 28, 1961","Boston, Massachusetts, USA",Not Available,Not Available,Boston,Not Available,Massachusetts,USA
nm4535518,Mindy Robinson,"Actress,Writer,Stunts","Range 15,Check Point,You Can't Have It,King of the Nerds",1.65,"February 14, 1980","Fall River, Massachusetts, USA",Not Available,Not Available,Fall River,Not Available,Massachusetts,USA
nm0000115,Nicolas Cage,"Actor,Producer,Director","Face/Off,Leaving Las Vegas,The Rock,Next",3.0,"January 7, 1964","Long Beach, California, USA",Not Available,Not Available,Long Beach,Not Available,California,USA
nm9481314,Wesley Kimmel,"Music Department,Actor","The Book of Boba Fett,WandaVision,Your Place or Mine,Good Girls",1.55,"January 7, 1964","Long Beach, California, USA",Not Available,Not Available,Long Beach,Not Available,California,USA
nm2143282,Lupita Nyong'o,"Actress,Producer,Additional Crew","12 Years a Slave,Black Panther,Us,Star Wars: The Force Awakens",1.65,"March 1, 1983","Mexico City, Distrito Federal, Mexico",Not Available,Not Available,Mexico City,Not Available,Distrito Federal,Mexico
nm0898597,Cerina Vincent,"Actress,Producer,Writer","Cabin Fever,Not Another Teen Movie,Power Rangers Lost Galaxy,Stuck in the Middle",1.7,"February 7, 1979","Las Vegas, Nevada, USA",Not Available,Not Available,Las Vegas,Not Available,Nevada,USA
nm0004874,Vin Diesel,"Producer,Actor,Director","Guardians of the Galaxy,The Fast and the Furious,xXx,Fast & Furious 7",1.8,"July 18, 1967","Alameda County, California, USA",Not Available,Not Available,Alameda County,Not Available,California,USA
nm0124930,Gerard Butler,"Actor,Producer,Camera and Electrical Department","300,The Phantom of the Opera,Law Abiding Citizen,The Bounty Hunter",1.88,"November 13, 1969","Paisley, Scotland, UK",Not Available,Not Available,Paisley,Not Available,Scotland,UK
nm0000158,Tom Hanks,"Producer,Actor,Writer","Cast Away,Big,Forrest Gump,Saving Private Ryan",3.0,"July 9, 1956","Concord, California, USA",Not Available,Not Available,Concord,Not Available,California,USA
nm0000124,Jennifer Connelly,"Actress,Producer","A Beautiful Mind,House of Sand and Fog,Requiem for a Dream,Hulk",1.69,"December 12, 1970","Catskill Mountains, New York, USA",Not Available,Not Available,Catskill Mountains,Not Available,New York,USA
nm0000201,Michelle Pfeiffer,"Actress,Producer,Music Department","What Lies Beneath,Hairspray,One Fine Day,Dangerous Liaisons",1.71,"April 29, 1958","Santa Ana, California, USA",Not Available,Not Available,Santa Ana,Not Available,California,USA
nm7821296,Tilly Keeper,Actress,"EastEnders,You,Marooned Awakening,Children in Need",1.73,"August 16, 1997","London, England, UK",Not Available,Not Available,London,Not Available,England,UK
nm4141252,Lily James,"Actress,Producer,Soundtrack","Cinderella,Pride and Prejudice and Zombies,Mamma Mia! Here We Go Again,Baby Driver",1.7,"April 5, 1989","Esher, Surrey, England, UK",Esher,Not Available,Surrey,Not Available,England,UK
nm0000229,Steven Spielberg,"Producer,Writer,Director","Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark",1.72,"December 18, 1946","Cincinnati, Ohio, USA",Not Available,Not Available,Cincinnati,Not Available,Ohio,USA
nm3584268,James Norton,"Actor,Producer,Soundtrack","Little Women,Mr. Jones,Happy Valley,McMafia",1.85,"July 18, 1985","London, England, UK",Not Available,Not Available,London,Not Available,England,UK
nm6616259,Tati Gabrielle,"Actress,Soundtrack","Uncharted,The 100,The Emoji Movie,Kaleidoscope",1.7,"January 25, 1996","Bay Area, San Francisco, California, USA",Bay Area,Not Available,San Francisco,Not Available,California,USA
nm0000206,Keanu Reeves,"Actor,Producer,Additional Crew","The Matrix,Speed,Point Break,The Matrix Reloaded",1.86,"September 2, 1964","Beirut, Lebanon",Not Available,Not Available,Not available,Not Available,Beirut,Lebanon
nm0174403,Kerry Condon,Actress,"Three Billboards Outside Ebbing, Missouri,Avengers: Infinity War,Better Call Saul,Rome",1.6,"January 9, 1983","Tipperary, Ireland",Not Available,Not Available,Not available,Not Available,Tipperary,Ireland
nm3485845,Adam Driver,"Actor,Producer,Soundtrack","Star Wars: The Force Awakens,Paterson,Star Wars: The Last Jedi,Marriage Story",1.89,"November 19, 1983","San Diego, California, USA",Not Available,Not Available,San Diego,Not Available,California,USA
nm0147147,Henry Cavill,"Actor,Additional Crew,Producer","Man of Steel,Batman v Superman: Dawn of Justice,Justice League,Mission: Impossible - Fallout",1.85,"May 5, 1983","Jersey, Channel Islands",Not Available,Not Available,Not available,Not Available,Jersey,Channel Islands
nm2295540,Natalie Morales,"Actress,Director,Producer","Parks and Recreation,Battle of the Sexes,Abby's,Girls",1.7,February 15,"Kendall, Florida, USA",Not Available,Not Available,Kendall,Not Available,Florida,USA
nm0000288,Christian Bale,"Actor,Producer,Editorial Department","The Dark Knight,Batman Begins,The Fighter,American Psycho",3.0,"January 30, 1974","Haverfordwest, Pembrokeshire, Wales, UK",Haverfordwest,Not Available,Pembrokeshire,Not Available,Wales,UK
nm10128408,Emma Corrin,"Actress,Music Department,Soundtrack","Lady Chatterley's Lover,My Policeman,The Crown,Nosferatu",1.73,"December 13, 1995","Royal Tunbridge Wells, Kent, England, UK",Royal Tunbridge Wells,Not Available,Kent,Not Available,England,UK
nm1988575,Lauren London,"Actress,Soundtrack","ATL,You People,I Love You, Beth Cooper,This Christmas",1.57,"December 5, 1984","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm0268199,Colin Farrell,"Actor,Producer,Director","The Lobster,In Bruges,S.W.A.T.,The Banshees of Inisherin",1.78,"May 31, 1976","Castleknock, Dublin, Ireland",Not Available,Not Available,Castleknock,Not Available,Dublin,Ireland
nm0000701,Kate Winslet,"Actress,Producer,Writer","Eternal Sunshine of the Spotless Mind,Titanic,Revolutionary Road,Sense and Sensibility",1.69,"October 5, 1975","Reading, Berkshire, England, UK",Reading,Not Available,Berkshire,Not Available,England,UK
nm2410822,Cody Anthony,"Actor,Music Department,Writer","The Catch,Nashville,Dog Years,Secrets and Lies",3.0,"March 4, 1988","Littleton, Colorado, USA",Not Available,Not Available,Littleton,Not Available,Colorado,USA
nm0796117,M. Night Shyamalan,"Producer,Director,Writer","Lady in the Water,Signs,The Village,The Sixth Sense",1.78,"August 6, 1970","Mahé, Pondicherry, India",Not Available,Not Available,Mahé,Not Available,Pondicherry,India
nm0792263,Taylor Sheridan,"Writer,Producer,Actor","Hell or High Water,Wind River,Yellowstone,Sicario",1.79,"July 17, 1969","Chapel Hill, North Carolina, USA",Not Available,Not Available,Chapel Hill,Not Available,North Carolina,USA
nm0577982,Harry Melling,"Actor,Soundtrack","Harry Potter and the Philosopher's Stone,Harry Potter and the Deathly Hallows: Part 1,The Old Guard,Harry Potter and the Order of the Phoenix",1.75,"March 13, 1989","London, England, UK",Not Available,Not Available,London,Not Available,England,UK
nm3526370,Brianne Howey,"Actress,Soundtrack","The Passage,The Exorcist,Ginny & Georgia,I'm Dying Up Here",1.68,May 24,"Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm5999355,Jonah Hauer-King,"Actor,Soundtrack","The Little Mermaid,Little Women,A Dog's Way Home,Postcards from London",1.87,"May 30, 1995","London, England, UK",Not Available,Not Available,London,Not Available,England,UK
nm2858875,Sydney Sweeney,"Actress,Producer","Euphoria,The White Lotus,The Handmaid's Tale,Everything Sucks!",1.61,"September 12, 1997","Spokane, Washington, USA",Not Available,Not Available,Spokane,Not Available,Washington,USA
nm0005336,Sheryl Lee Ralph,"Actress,Producer,Director","Oliver & Company,Sister Act 2: Back in the Habit,Abbott Elementary,Moesha",1.7,"December 30, 1956","Waterbury, Connecticut, USA",Not Available,Not Available,Waterbury,Not Available,Connecticut,USA
nm7607873,Stefanie Martini,Actress,"Prime Suspect 1973,Crooked House",1.68,"October 6, 1990","Bristol, England, UK",Not Available,Not Available,Bristol,Not Available,England,UK
nm5085683,Mckenna Grace,"Actress,Additional Crew,Producer","Gifted,The Handmaid's Tale,I, Tonya,Troop Zero",1.54,"June 25, 2006","Grapevine, Texas, USA",Not Available,Not Available,Grapevine,Not Available,Texas,USA
nm2057859,Andrea Riseborough,"Actress,Producer,Soundtrack","Birdman or (The Unexpected Virtue of Ignorance),Oblivion,Possessor,W.E.",1.66,"November 20, 1981","Newcastle upon Tyne, Northumberland, England, UK",Newcastle upon Tyne,Not Available,Northumberland,Not Available,England,UK
nm0005224,Alex Meneses,"Actress,Producer","The Wall of Mexico,Jane the Virgin,Everybody Loves Raymond,Selena",1.74,"February 12, 1965","Chicago, Illinois, USA",Not Available,Not Available,Chicago,Not Available,Illinois,USA
nm0000230,Sylvester Stallone,"Actor,Writer,Producer","Rocky,Creed,Rocky IV,Rocky III",1.77,"July 6, 1946","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm2681284,Jessica De Gouw,"Actress,Producer,Writer","Underground,Dracula,Pennyworth,The Crown",1.73,"February 15, 1988","Perth, Western Australia, Australia",Not Available,Not Available,Perth,Not Available,Western Australia,Australia
