id_,names,profession,worked_as,famous_for,famous_movies,height,dob,birthplace,img_link,profile_link
nm0000702,Reese Witherspoon,Producer,"Producer,Actress,Executive",Wild,"Wild,Legally Blonde,Walk the Line,Election",(1.57 m,"March 22, 1976","New Orleans, Louisiana, USA","https://m.media-amazon.com/images/M/MV5BYTdlMzNkODUtZTA2My00NzJhLTkwMjAtMzk4MWQ0MDQzMGNiXkEyXkFqcGdeQXVyNDY1Njg3OA@@._V1_UY209_CR34,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000702
nm1431940,Evangeline Lilly,Actress,"Actress,Soundtrack",Ant-Man,"Ant-Man,Ant-Man and the Wasp,The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies",1.65 m,"August 3, 1979","Fort Saskatchewan, Alberta, Canada","https://m.media-amazon.com/images/M/MV5BMTc2MDMzODU0OV5BMl5BanBnXkFtZTgwODIwOTAxMzI@._V1_UY209_CR21,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1431940
nm1275259,Alexandra Daddario,Actress,"Actress,Producer,Soundtrack",Baywatch,"Baywatch,Texas Chainsaw 3D,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson: Sea of Monsters",1.73 m,"March 16, 1986","New York City, New York, USA","https://m.media-amazon.com/images/M/MV5BMTY3Nzg2NjA1OF5BMl5BanBnXkFtZTgwMjY5NTU1MzI@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1275259
nm3856316,Zoe Chao,Actress,"Actress,Writer,Producer",Love Life,"Love Life,Downhill,Strangers,Where'd You Go, Bernadette",1.73 m,"September 19, 1985","Providence, Rhode Island, USA","https://m.media-amazon.com/images/M/MV5BNjQ1YzE4YzctOTU1Ni00MGY2LThiMDktOGJjN2E1YjFhNDg2XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3856316
nm0538261,Austin Majors,Actor,"Actor,Cinematographer,Editor",Treasure Planet,"Treasure Planet,NYPD Blue,An Accidental Christmas,Superman II: The Richard Donner Cut",1.73 m,"November 23, 1995","Kern County, California, USA","https://m.media-amazon.com/images/M/MV5BMTg3NzYxMzc0OF5BMl5BanBnXkFtZTcwNjAwMjUzMQ@@._V1_UY209_CR72,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0538261
nm0046112,Penn Badgley,Actor,"Actor,Producer,Director",You,"You,Gossip Girl,Easy A,Margin Call",(1.74 m,"November 1, 1986","Baltimore, Maryland, USA","https://m.media-amazon.com/images/M/MV5BNGJmOTlmNWEtNDFmMy00MTQ2LThlZTItNzZlZGQzMzlhYjk4XkEyXkFqcGdeQXVyMTU3NjIxODkz._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0046112
nm3996999,Brandon Sklenar,Actor,Actor,The Offer,"The Offer,Vice,Midway,Westworld",1.88 m,"November 1, 1986","Baltimore, Maryland, USA","https://m.media-amazon.com/images/M/MV5BZTliY2MwNjUtNTJjOS00YTcwLWE4MWYtNDM5Mjk2OTg5NmU3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3996999
nm1968873,Ed Speleers,Actor,"Actor,Producer,Executive",Downton Abbey,"Downton Abbey,Outlander,Wolf Hall,Alice Through the Looking Glass",(1.78 m,"April 7, 1988","Chichester, England, UK","https://m.media-amazon.com/images/M/MV5BNDUzODI1NDE1Ml5BMl5BanBnXkFtZTgwMTAwODU5NzE@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1968873
nm0930898,Jesse Williams,Actor,"Actor,Producer,Director",The Cabin in the Woods,"The Cabin in the Woods,Grey's Anatomy,The Sisterhood of the Traveling Pants 2,Brooklyn's Finest",(1.84 m,"August 5, 1981","Chicago, Illinois, USA","https://m.media-amazon.com/images/M/MV5BZTk5NmVmNjUtYTFjMi00NGYzLWFiYjYtMzE0ZDE2YTNjM2I4XkEyXkFqcGdeQXVyODgwMzQ5Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0930898
nm7879234,Julia Schlaepfer,Actress,Actress,1923,"1923,The Politician,The Sky Is Everywhere,Charlie Says",,,,"https://m.media-amazon.com/images/M/MV5BYWQ5YWU1MTYtYjIyYi00NTJiLWJkMDktNjY4YzRlZjc1ODYwXkEyXkFqcGdeQXVyNjA0NjcxMDE@._V1_UY209_CR5,0,140,209_AL_.jpg",https://www.imdb.com/name/nm7879234
nm0588096,Christa Miller,Actress,"Actress,Music Department,Soundtrack",Scrubs,"Scrubs,The Drew Carey Show,Cougar Town,The Andromeda Strain",(1.74 m,"May 28, 1964","New York City, New York, USA","https://m.media-amazon.com/images/M/MV5BMTQ4NDI4Nzc5N15BMl5BanBnXkFtZTYwNDIyNTcz._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0588096
nm4045841,Lamar Johnson,Actor,"Actor,Director",The Hate U Give,"The Hate U Give,The Last of Us,Your Honor,Brother",1.73 m,"July 18, 1994","Toronto, Canada","https://m.media-amazon.com/images/M/MV5BYjJkZDcwZjgtMjM0OC00OWE5LWFiZDItNzVlNTE2Y2Q3NDJkXkEyXkFqcGdeQXVyMzk0MzE1MjI@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4045841
nm0424534,Ashley Johnson,Actress,"Actress,Producer,Soundtrack",The Avengers,"The Avengers,Blindspot,The Last of Us,Fast Food Nation",1.65 m,"August 9, 1983","Camarillo, California, USA","https://m.media-amazon.com/images/M/MV5BOTk5Njc3NzgxOV5BMl5BanBnXkFtZTgwMzgyMjIzNzE@._V1_UY209_CR86,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0424534
nm0058864,Murray Bartlett,Actor,"Actor,Producer,Soundtrack",The White Lotus,"The White Lotus,August,Noor,Farscape",1.65 m,"March 20, 1971","Sydney, New South Wales, Australia","https://m.media-amazon.com/images/M/MV5BMjA0NjY3NjI4MV5BMl5BanBnXkFtZTgwNTM4OTg5NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0058864
nm0002907,Alexander Skarsgård,Actor,"Actor,Producer,Director",The Legend of Tarzan,"The Legend of Tarzan,Big Little Lies,True Blood,The Little Drummer Girl",(1.94 m,"August 25, 1976","Stockholm, Stockholms län, Sweden","https://m.media-amazon.com/images/M/MV5BMTY1MjQxNjEzOF5BMl5BanBnXkFtZTgwMTU5ODM2ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0002907
nm4965072,Lukas Gage,Actor,"Actor,Writer,Soundtrack",Euphoria,"Euphoria,The White Lotus,American Vandal,Assassination Nation",(1.78 m,"May 28, 1995","San Diego, California, USA","https://m.media-amazon.com/images/M/MV5BNDg2OGIxOGEtMzQ5NS00MjUxLTlhMGYtNDUxZjMxZDU2ZTM5XkEyXkFqcGdeQXVyMTExNzQ3MzAw._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4965072
nm0000474,Michael Keaton,Actor,"Actor,Additional Crew,Producer",Birdman or (The Unexpected Virtue of Ignorance),"Birdman or (The Unexpected Virtue of Ignorance),Spotlight,The Founder,Batman",1.75 m,"September 5, 1951","Coraopolis, Pennsylvania, USA","https://m.media-amazon.com/images/M/MV5BZmNiZmMzN2MtOTNkMy00YjA1LTg4NzktMWI4Njg1NzI3ODAyXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000474
nm0000129,Tom Cruise,Actor,"Actor,Producer,Director",Top Gun,"Top Gun,The Last Samurai,Jerry Maguire,Mission: Impossible II",1.70 m,"July 3, 1962","Syracuse, New York, USA","https://m.media-amazon.com/images/M/MV5BYTFlOTdjMjgtNmY0ZC00MDgxLThjNmEtZGIxZTQyZDdkMTRjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000129
nm0000207,Christina Ricci,Actress,"Actress,Producer,Soundtrack",Casper,"Casper,Buffalo '66,Black Snake Moan,Speed Racer",(1.55 m,"February 12, 1980","Santa Monica, California, USA","https://m.media-amazon.com/images/M/MV5BMjUzMzk5NzcyNV5BMl5BanBnXkFtZTcwNzQ1NjkzNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000207
nm3053338,Margot Robbie,Actress,"Actress,Producer,Executive",Suicide Squad,"Suicide Squad,The Wolf of Wall Street,I, Tonya,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn",1.68 m,"July 2, 1990","Dalby, Queensland, Australia","https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3053338
nm6442992,Victoria Pedretti,Actress,Actress,Once Upon a Time in... Hollywood,"Once Upon a Time... In Hollywood,The Haunting of Bly Manor,You,The Haunting of Hill House",1.60 m,"March 23, 1995","Philadelphia, Pennsylvania, USA","https://m.media-amazon.com/images/M/MV5BNzlmY2VkODEtNzgzYS00MGE5LWJmZTMtOWZlMTg2ZmQ5ODMwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm6442992
nm7006860,Matilda De Angelis,Actress,"Actress,Additional Crew",L'incredibile storia dell'Isola delle Rose,"Rose Island,Veloce Come Il Vento,Atlas,Rumori",(1.66 m,"September 11, 1995","Bologna, Emilia-Romagna, Italy","https://m.media-amazon.com/images/M/MV5BMzIzYTQ0ZDUtNjg1NC00MDg2LWExZDEtYWE0ZDcwMWU0MzFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm7006860
nm0000148,Harrison Ford,Actor,"Actor,Writer,Producer",Raiders of the Lost Ark,"Raiders of the Lost Ark,The Fugitive,Witness,Star Wars",1.85 m,"July 13, 1942","Chicago, Illinois, USA","https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000148
nm5353321,Cara Delevingne,Actress,"Actress,Producer,Writer",Suicide Squad,"Suicide Squad,Paper Towns,Valerian and the City of a Thousand Planets,Anna Karenina",1.73 m,"August 12, 1992","London, England, UK","https://m.media-amazon.com/images/M/MV5BM2U4NmUwODQtN2IwNC00MzE0LThmYmQtNTFlYTg0OTdjYzcxXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UY209_CR11,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5353321
nm5634768,Elizabeth Lail,Actress,Actress,Countdown,"Countdown,You,Once Upon a Time,Unintended",1.73 m,"March 25, 1992","Williamson County, Texas, USA","https://m.media-amazon.com/images/M/MV5BOGJhNTM0YzQtN2FiMS00YzIzLWI4YzItZDI0NzdhMDZmZjExXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5634768
nm3009232,Ezra Miller,Actor,"Actor,Producer,Director",The Perks of Being a Wallflower,"The Perks of Being a Wallflower,We Need to Talk About Kevin,Justice League,Suicide Squad",(1.80 m,"September 30, 1992","Hoboken, New Jersey, USA","https://m.media-amazon.com/images/M/MV5BOTQ2YmNlZDEtM2EwNi00N2JhLTk3ZDktMjBmNzYwYWI1OWZmXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3009232
nm5896355,Anya Taylor-Joy,Actress,"Actress,Soundtrack",The Queen's Gambit,"The Queen's Gambit,The VVitch: A New-England Folktale,The New Mutants,Morgan",1.73 m,"April 16, 1996","Miami, Florida, USA","https://m.media-amazon.com/images/M/MV5BMTllYmE5YTYtZGZmYy00ZTBlLWJlODEtYWQ0ZmU1YTJkMjJlXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5896355
nm0000409,Brendan Fraser,Actor,"Actor,Producer,Art Department",The Mummy,"The Mummy,Crash,The Mummy Returns,The Whale",1.91 m,"December 3, 1968","Indianapolis, Indiana, USA","https://m.media-amazon.com/images/M/MV5BMjA5MjExMzY0M15BMl5BanBnXkFtZTgwNTMxOTg4MTI@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000409
nm9135274,Nico Parker,Actress,Actress,Dumbo,"Dumbo,Reminiscence,The Last of Us,The Third Day",,,,"https://m.media-amazon.com/images/M/MV5BMTgzNTM1MDAxMV5BMl5BanBnXkFtZTgwMDM4NzcxNzM@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm9135274
nm1886602,Miles Teller,Actor,"Actor,Producer,Soundtrack",Whiplash,"Whiplash,The Spectacular Now,Fantastic Four,Insurgent",1.85 m,"February 20, 1987","Downingtown, Pennsylvania, USA","https://m.media-amazon.com/images/M/MV5BM2ZiYThiZTUtYmM0ZS00ZWQzLTgzMTEtZWY1ZDkwNWM4ZGNmXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1886602
nm8908475,Isabel May,Actress,Actress,1883,"1883,Alexa & Katie,I Want You Back,Young Sheldon",1.75 m,"November 21, 2000","Santa Monica, California, USA","https://m.media-amazon.com/images/M/MV5BODM3MDE2YjYtZTA4Ny00OTRjLWJiOWYtYWVjNTQxZDAwYWUyXkEyXkFqcGdeQXVyNjUzMzg3MTE@._V1_UY209_CR21,0,140,209_AL_.jpg",https://www.imdb.com/name/nm8908475
nm0369513,Cole Hauser,Actor,"Actor,Producer",2 Fast 2 Furious,"2 Fast 2 Furious,Dazed and Confused,Good Will Hunting,Rogue",1.85 m,"March 22, 1975","Santa Barbara, California, USA","https://m.media-amazon.com/images/M/MV5BZWRiOTdjN2UtY2M1Yy00YzBjLWJmMzQtYTAyZGY4ZGFmZDRkXkEyXkFqcGdeQXVyNDI3NzU1NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0369513
nm1754059,Natalie Dormer,Actress,"Actress,Producer,Writer",Game of Thrones,"Game of Thrones,The Tudors,The Hunger Games: Mockingjay - Part 2,Penny Dreadful: City of Angels",(1.67 m,"February 11, 1982","Reading, Berkshire, England, UK","https://m.media-amazon.com/images/M/MV5BNjM4NjQwMzE1Ml5BMl5BanBnXkFtZTgwNjg5MTM0NzE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1754059
nm0000138,Leonardo DiCaprio,Actor,"Producer,Actor,Writer",Inception,"Inception,Titanic,The Departed,The Aviator",3 m,"November 11, 1974","Hollywood, Los Angeles, California, USA","https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000138
nm6073955,Florence Pugh,Actress,"Actress,Producer,Soundtrack",The Falling,"The Falling,Marcella,Lady Macbeth,The Commuter",(1.62 m,"January 3, 1996","Oxford, Oxfordshire, England, UK","https://m.media-amazon.com/images/M/MV5BOGM4ZGI5MTMtMTRkZC00MmM0LThmZTItNzNkZjM2MTg3N2U1XkEyXkFqcGdeQXVyNTQ1OTQ0OTA@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm6073955
nm1093951,Aaron Taylor-Johnson,Actor,"Actor,Producer,Writer",Nocturnal Animals,"Kick-Ass,Nocturnal Animals,Nowhere Boy,Kick-Ass 2",(1.80 m,"June 13, 1990","High Wycombe, Buckinghamshire, England, UK","https://m.media-amazon.com/images/M/MV5BMzE5MzI0MzY2OF5BMl5BanBnXkFtZTgwODE3MTk4MTE@._V1_UY209_CR9,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1093951
nm2274847,Lauren Ash,Actress,"Actress,Writer,Producer",Lars and the Real Girl,"Lars and the Real Girl,Superstore,Swamp Mama,The Disaster Artist",1.70 m,"February 4, 1983","Belleville, Ontario, Canada","https://m.media-amazon.com/images/M/MV5BN2JmOGQ1MjEtOTdlMy00YWY2LThjZGItODlmNzkyZWQ2ZDVmXkEyXkFqcGdeQXVyMzIwMjYzOTA@._V1_UY209_CR24,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2274847
nm0001872,Steve Zahn,Actor,"Actor,Producer,Soundtrack",War for the Planet of the Apes,"War for the Planet of the Apes,Joy Ride,Rescue Dawn,Sahara",(1.71 m,"November 13, 1967","Marshall, Minnesota, USA","https://m.media-amazon.com/images/M/MV5BMzc0MzcxMDgtMTIzNy00MmZkLTk5Y2EtYWQ1NWYzNDcyOGEzXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001872
nm0748620,Paul Rudd,Actor,"Actor,Producer,Writer",Ant-Man,"Ant-Man,Ant-Man and the Wasp,I Love You, Man,The Perks of Being a Wallflower",(1.78 m,"April 6, 1969","Passaic, New Jersey, USA","https://m.media-amazon.com/images/M/MV5BMTY4NTEwNDg1MV5BMl5BanBnXkFtZTgwODMwMDA0ODE@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0748620
nm0000093,Brad Pitt,Producer,"Producer,Actor,Executive",Ad Astra,"Ad Astra,Mr. & Mrs. Smith,Twelve Monkeys,Moneyball",(1.80 m,"December 18, 1963","Shawnee, Oklahoma, USA","https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000093
nm2125623,Bridget Regan,Actress,"Actress,Producer",Jane the Virgin,"Jane the Virgin,Paradise Lost,Devil's Gate,John Wick",1.75 m,"February 3, 1982","San Diego County, California, USA","https://m.media-amazon.com/images/M/MV5BMGE2NWNkNTMtYWEyYy00Y2MyLTk4MTAtNTFmNWIyMjUzNDI0XkEyXkFqcGdeQXVyMTU3NDgwMzg@._V1_UY209_CR35,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2125623
nm0193520,Tahnee Welch,Actress,Actress,Cocoon,"Cocoon,Sleeping Beauty,Cocoon: The Return,I Shot Andy Warhol",1.68 m,"December 26, 1961","San Diego, California, USA","https://m.media-amazon.com/images/M/MV5BMjAxODI5MzAzM15BMl5BanBnXkFtZTcwNTM0MjY5Ng@@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0193520
nm0000161,Salma Hayek,Actress,"Actress,Producer,Director",Frida,"Frida,Desperado,Savages,Wild Wild West",1.57 m,"September 2, 1966","Coatzacoalcos, Veracruz, Mexico","https://m.media-amazon.com/images/M/MV5BMzkyMTk2NzM2Ml5BMl5BanBnXkFtZTcwNDQ4MjYzMg@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000161
nm0000255,Ben Affleck,Producer,"Producer,Actor,Writer",Argo,"Argo,Gone Girl,The Town,Good Will Hunting",(1.89 m,"August 15, 1972","Berkeley, California, USA","https://m.media-amazon.com/images/M/MV5BMzczNzNiMDAtMmUzZS00MTkwLWIwOTYtNmYyNjg3MTVkNThhXkEyXkFqcGdeQXVyMjA4MjI5MTA@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000255
